Regio,Migratieachtergrond,value
Nederland,Afghanistan,38664
Nederland,Australië,14888
Nederland,België,113001
Nederland,Brazilië,17022
Nederland,Canada en overig Noord-Amerika,14001
Nederland,China,53328
Nederland,Colombia,12292
Nederland,Dominicaanse Republiek,11600
Nederland,Duitsland,378947
Nederland,Egypte,20599
Nederland,Ethiopië,11345
Nederland,Filippijnen,16094
Nederland,Frankrijk,37152
Nederland,Ghana,20829
Nederland,Griekenland,14241
Nederland,Hongarije,15710
Nederland,Hongkong,18202
Nederland,India,20490
Nederland,Indonesië,382411
Nederland,Irak,52102
Nederland,Iran,31653
Nederland,Italië,39405
Nederland,Japan,7246
Nederland,Kaapverdië,21006
Nederland,Marokko,349005
Nederland,Oostenrijk,15582
Nederland,Pakistan,19102
Nederland,Polen,77178
Nederland,Portugal,20981
Nederland,Somalië,27011
Nederland,Spanje,33333
Nederland,Suriname,342279
Nederland,Turkije,383957
Nederland,Verenigd Koninkrijk,78667
Nederland,Verenigde Staten van Amerika,32915
Nederland,Vietnam,19259
Nederland,Zuid-Afrika,17214
Nederland,Overig Afrika,95227
Nederland,Overig Amerika,42279
Nederland,Overig Azië,79315
Nederland,Overig Europa,85292
Nederland,Overig Oceanië,5344
Groningen (PV),Afghanistan,662
Groningen (PV),Australië,422
Groningen (PV),België,1048
Groningen (PV),Brazilië,421
Groningen (PV),Canada en overig Noord-Amerika,446
Groningen (PV),China,1820
Groningen (PV),Colombia,266
Groningen (PV),Dominicaanse Republiek,424
Groningen (PV),Duitsland,13568
Groningen (PV),Egypte,304
Groningen (PV),Ethiopië,154
Groningen (PV),Filippijnen,311
Groningen (PV),Frankrijk,702
Groningen (PV),Ghana,128
Groningen (PV),Griekenland,252
Groningen (PV),Hongarije,318
Groningen (PV),Hongkong,229
Groningen (PV),India,408
Groningen (PV),Indonesië,10467
Groningen (PV),Irak,1376
Groningen (PV),Iran,1108
Groningen (PV),Italië,1093
Groningen (PV),Japan,105
Groningen (PV),Kaapverdië,259
Groningen (PV),Marokko,1602
Groningen (PV),Oostenrijk,340
Groningen (PV),Pakistan,241
Groningen (PV),Polen,1733
Groningen (PV),Portugal,194
Groningen (PV),Somalië,866
Groningen (PV),Spanje,482
Groningen (PV),Suriname,6176
Groningen (PV),Turkije,4694
Groningen (PV),Verenigd Koninkrijk,1681
Groningen (PV),Verenigde Staten van Amerika,784
Groningen (PV),Vietnam,358
Groningen (PV),Zuid-Afrika,435
Groningen (PV),Overig Afrika,2936
Groningen (PV),Overig Amerika,1023
Groningen (PV),Overig Azië,2403
Groningen (PV),Overig Europa,2613
Groningen (PV),Overig Oceanië,108
Friesland (PV),Afghanistan,708
Friesland (PV),Australië,320
Friesland (PV),België,926
Friesland (PV),Brazilië,286
Friesland (PV),Canada en overig Noord-Amerika,725
Friesland (PV),China,1356
Friesland (PV),Colombia,183
Friesland (PV),Dominicaanse Republiek,164
Friesland (PV),Duitsland,10357
Friesland (PV),Egypte,336
Friesland (PV),Ethiopië,112
Friesland (PV),Filippijnen,422
