Regio,Migratieachtergrond,value
Nederland,Afghanistan,31167
Nederland,Australië,13493
Nederland,België,113239
Nederland,Brazilië,10237
Nederland,Canada en overig Noord-Amerika,12222
Nederland,China,35691
Nederland,Colombia,8122
Nederland,Dominicaanse Republiek,8676
Nederland,Duitsland,396316
Nederland,Egypte,16108
Nederland,Ethiopië,9783
Nederland,Filippijnen,11100
Nederland,Frankrijk,31884
Nederland,Ghana,17232
Nederland,Griekenland,12077
Nederland,Hongarije,12359
Nederland,Hongkong,17789
Nederland,India,12589
Nederland,Indonesië,402663
Nederland,Irak,41323
Nederland,Iran,26789
Nederland,Italië,35193
Nederland,Japan,7078
Nederland,Kaapverdië,19012
Nederland,Marokko,284124
Nederland,Oostenrijk,15540
Nederland,Pakistan,17325
Nederland,Polen,32210
Nederland,Portugal,15881
Nederland,Somalië,28979
Nederland,Spanje,30897
Nederland,Suriname,315177
Nederland,Turkije,330709
Nederland,Verenigd Koninkrijk,74869
Nederland,Verenigde Staten van Amerika,29093
Nederland,Vietnam,16012
Nederland,Zuid-Afrika,14378
Nederland,Overig Afrika,72300
Nederland,Overig Amerika,30883
Nederland,Overig Azië,57978
Nederland,Overig Europa,57144
Nederland,Overig Oceanië,4895
Groningen (PV),Afghanistan,1188
Groningen (PV),Australië,342
Groningen (PV),België,943
Groningen (PV),Brazilië,253
Groningen (PV),Canada en overig Noord-Amerika,338
Groningen (PV),China,1160
Groningen (PV),Colombia,168
Groningen (PV),Dominicaanse Republiek,336
Groningen (PV),Duitsland,12906
Groningen (PV),Egypte,230
Groningen (PV),Ethiopië,160
Groningen (PV),Filippijnen,222
Groningen (PV),Frankrijk,618
Groningen (PV),Ghana,83
Groningen (PV),Griekenland,192
Groningen (PV),Hongarije,232
Groningen (PV),Hongkong,266
Groningen (PV),India,188
Groningen (PV),Indonesië,11007
Groningen (PV),Irak,1303
Groningen (PV),Iran,1157
Groningen (PV),Italië,954
Groningen (PV),Japan,109
Groningen (PV),Kaapverdië,277
Groningen (PV),Marokko,1303
Groningen (PV),Oostenrijk,305
Groningen (PV),Pakistan,211
Groningen (PV),Polen,1075
Groningen (PV),Portugal,149
Groningen (PV),Somalië,850
Groningen (PV),Spanje,335
Groningen (PV),Suriname,6017
Groningen (PV),Turkije,4164
Groningen (PV),Verenigd Koninkrijk,1569
Groningen (PV),Verenigde Staten van Amerika,649
Groningen (PV),Vietnam,265
Groningen (PV),Zuid-Afrika,335
Groningen (PV),Overig Afrika,2799
Groningen (PV),Overig Amerika,706
Groningen (PV),Overig Azië,1734
Groningen (PV),Overig Europa,1886
Groningen (PV),Overig Oceanië,97
Friesland (PV),Afghanistan,1208
Friesland (PV),Australië,308
Friesland (PV),België,786
Friesland (PV),Brazilië,165
Friesland (PV),Canada en overig Noord-Amerika,698
Friesland (PV),China,1070
Friesland (PV),Colombia,102
Friesland (PV),Dominicaanse Republiek,106
Friesland (PV),Duitsland,9945
Friesland (PV),Egypte,273
Friesland (PV),Ethiopië,146
Friesland (PV),Filippijnen,259
Friesland (PV),Frankrijk,520
Friesland (PV),Ghana,70
Friesland (PV),Griekenland,195
Friesland (PV),Hongarije,210
Friesland (PV),Hongkong,165
Friesland (PV),India,198
Friesland (PV),Indonesië,7839
Friesland (PV),Irak,2335
Friesland (PV),Iran,779
Friesland (PV),Italië,563
Friesland (PV),Japan,32
Friesland (PV),Kaapverdië,93
Friesland (PV),Marokko,2069
Friesland (PV),Oostenrijk,296
Friesland (PV),Pakistan,186
Friesland (PV),Polen,738
Friesland (PV),Portugal,103
Friesland (PV),Somalië,1047
Friesland (PV),Spanje,244
Friesland (PV),Suriname,2869
Friesland (PV),Turkije,1528
Friesland (PV),Verenigd Koninkrijk,1323
Friesland (PV),Verenigde Staten van Amerika,599
Friesland (PV),Vietnam,719
Friesland (PV),Zuid-Afrika,322
Friesland (PV),Overig Afrika,2743
Friesland (PV),Overig Amerika,592
Friesland (PV),Overig Azië,1707
Friesland (PV),Overig Europa,1273
Friesland (PV),Overig Oceanië,107
Drenthe (PV),Afghanistan,789
Drenthe (PV),Australië,294
Drenthe (PV),België,612
Drenthe (PV),Brazilië,167
Drenthe (PV),Canada en overig Noord-Amerika,303
Drenthe (PV),China,838
Drenthe (PV),Colombia,62
Drenthe (PV),Dominicaanse Republiek,65
Drenthe (PV),Duitsland,9304
Drenthe (PV),Egypte,316
Drenthe (PV),Ethiopië,175
Drenthe (PV),Filippijnen,142
Drenthe (PV),Frankrijk,290
Drenthe (PV),Ghana,30
Drenthe (PV),Griekenland,122
Drenthe (PV),Hongarije,134
Drenthe (PV),Hongkong,151
Drenthe (PV),India,86
Drenthe (PV),Indonesië,8082
Drenthe (PV),Irak,1255
Drenthe (PV),Iran,592
Drenthe (PV),Italië,551
Drenthe (PV),Japan,13
Drenthe (PV),Kaapverdië,11
Drenthe (PV),Marokko,1162
Drenthe (PV),Oostenrijk,216
Drenthe (PV),Pakistan,135
Drenthe (PV),Polen,692
Drenthe (PV),Portugal,75
Drenthe (PV),Somalië,569
Drenthe (PV),Spanje,187
Drenthe (PV),Suriname,1664
Drenthe (PV),Turkije,1557
Drenthe (PV),Verenigd Koninkrijk,1023
Drenthe (PV),Verenigde Staten van Amerika,362
Drenthe (PV),Vietnam,290
Drenthe (PV),Zuid-Afrika,275
Drenthe (PV),Overig Afrika,1675
Drenthe (PV),Overig Amerika,283
Drenthe (PV),Overig Azië,1290
Drenthe (PV),Overig Europa,879
Drenthe (PV),Overig Oceanië,79
Overijssel (PV),Afghanistan,1568
Overijssel (PV),Australië,611
Overijssel (PV),België,1483
Overijssel (PV),Brazilië,628
Overijssel (PV),Canada en overig Noord-Amerika,544
Overijssel (PV),China,2613
Overijssel (PV),Colombia,292
Overijssel (PV),Dominicaanse Republiek,200
Overijssel (PV),Duitsland,33100
Overijssel (PV),Egypte,302
Overijssel (PV),Ethiopië,374
Overijssel (PV),Filippijnen,416
Overijssel (PV),Frankrijk,884
Overijssel (PV),Ghana,143
Overijssel (PV),Griekenland,260
Overijssel (PV),Hongarije,893
Overijssel (PV),Hongkong,502
Overijssel (PV),India,305
Overijssel (PV),Indonesië,21166
Overijssel (PV),Irak,3926
Overijssel (PV),Iran,1448
Overijssel (PV),Italië,2706
Overijssel (PV),Japan,49
Overijssel (PV),Kaapverdië,18
Overijssel (PV),Marokko,3797
Overijssel (PV),Oostenrijk,689
Overijssel (PV),Pakistan,263
Overijssel (PV),Polen,1661
Overijssel (PV),Portugal,231
Overijssel (PV),Somalië,926
Overijssel (PV),Spanje,1545
Overijssel (PV),Suriname,4898
Overijssel (PV),Turkije,32291
Overijssel (PV),Verenigd Koninkrijk,2135
Overijssel (PV),Verenigde Staten van Amerika,853
Overijssel (PV),Vietnam,959
Overijssel (PV),Zuid-Afrika,710
Overijssel (PV),Overig Afrika,3359
Overijssel (PV),Overig Amerika,1048
Overijssel (PV),Overig Azië,5293
Overijssel (PV),Overig Europa,2390
Overijssel (PV),Overig Oceanië,250
Flevoland (PV),Afghanistan,593
Flevoland (PV),Australië,329
Flevoland (PV),België,1118
Flevoland (PV),Brazilië,362
Flevoland (PV),Canada en overig Noord-Amerika,400
Flevoland (PV),China,694
Flevoland (PV),Colombia,232
Flevoland (PV),Dominicaanse Republiek,251
Flevoland (PV),Duitsland,6184
Flevoland (PV),Egypte,594
Flevoland (PV),Ethiopië,164
Flevoland (PV),Filippijnen,601
Flevoland (PV),Frankrijk,640
Flevoland (PV),Ghana,709
Flevoland (PV),Griekenland,202
Flevoland (PV),Hongarije,249
Flevoland (PV),Hongkong,413
Flevoland (PV),India,368
Flevoland (PV),Indonesië,9111
Flevoland (PV),Irak,1689
Flevoland (PV),Iran,1165
Flevoland (PV),Italië,760
Flevoland (PV),Japan,102
Flevoland (PV),Kaapverdië,60
Flevoland (PV),Marokko,6483
Flevoland (PV),Oostenrijk,325
Flevoland (PV),Pakistan,497
Flevoland (PV),Polen,816
Flevoland (PV),Portugal,457
Flevoland (PV),Somalië,349
Flevoland (PV),Spanje,607
Flevoland (PV),Suriname,17635
Flevoland (PV),Turkije,3841
Flevoland (PV),Verenigd Koninkrijk,1689
Flevoland (PV),Verenigde Staten van Amerika,673
Flevoland (PV),Vietnam,726
Flevoland (PV),Zuid-Afrika,559
Flevoland (PV),Overig Afrika,2124
Flevoland (PV),Overig Amerika,1100
Flevoland (PV),Overig Azië,1574
Flevoland (PV),Overig Europa,1365
Flevoland (PV),Overig Oceanië,122
Gelderland (PV),Afghanistan,4127
Gelderland (PV),Australië,1332
Gelderland (PV),België,5161
Gelderland (PV),Brazilië,892
Gelderland (PV),Canada en overig Noord-Amerika,1279
Gelderland (PV),China,3526
Gelderland (PV),Colombia,566
Gelderland (PV),Dominicaanse Republiek,582
Gelderland (PV),Duitsland,53559
Gelderland (PV),Egypte,863
Gelderland (PV),Ethiopië,721
Gelderland (PV),Filippijnen,898
Gelderland (PV),Frankrijk,2315
Gelderland (PV),Ghana,448
Gelderland (PV),Griekenland,951
Gelderland (PV),Hongarije,1213
Gelderland (PV),Hongkong,1409
Gelderland (PV),India,580
Gelderland (PV),Indonesië,47447
Gelderland (PV),Irak,4698
Gelderland (PV),Iran,2736
Gelderland (PV),Italië,3100
Gelderland (PV),Japan,202
Gelderland (PV),Kaapverdië,56
Gelderland (PV),Marokko,17007
Gelderland (PV),Oostenrijk,1548
Gelderland (PV),Pakistan,411
Gelderland (PV),Polen,2945
Gelderland (PV),Portugal,484
Gelderland (PV),Somalië,3152
Gelderland (PV),Spanje,2100
Gelderland (PV),Suriname,10734
Gelderland (PV),Turkije,34741
Gelderland (PV),Verenigd Koninkrijk,5035
Gelderland (PV),Verenigde Staten van Amerika,1901
Gelderland (PV),Vietnam,1906
Gelderland (PV),Zuid-Afrika,1327
Gelderland (PV),Overig Afrika,6679
Gelderland (PV),Overig Amerika,2194
Gelderland (PV),Overig Azië,4742
Gelderland (PV),Overig Europa,4849
Gelderland (PV),Overig Oceanië,473
Utrecht (PV),Afghanistan,2063
Utrecht (PV),Australië,1043
Utrecht (PV),België,4297
Utrecht (PV),Brazilië,575
Utrecht (PV),Canada en overig Noord-Amerika,882
Utrecht (PV),China,2271
Utrecht (PV),Colombia,455
Utrecht (PV),Dominicaanse Republiek,301
Utrecht (PV),Duitsland,19661
Utrecht (PV),Egypte,868
Utrecht (PV),Ethiopië,762
Utrecht (PV),Filippijnen,565
Utrecht (PV),Frankrijk,2362
Utrecht (PV),Ghana,388
Utrecht (PV),Griekenland,2168
Utrecht (PV),Hongarije,972
Utrecht (PV),Hongkong,1397
Utrecht (PV),India,676
Utrecht (PV),Indonesië,34560
Utrecht (PV),Irak,2853
Utrecht (PV),Iran,2311
Utrecht (PV),Italië,2347
Utrecht (PV),Japan,311
Utrecht (PV),Kaapverdië,59
Utrecht (PV),Marokko,38370
Utrecht (PV),Oostenrijk,1079
Utrecht (PV),Pakistan,391
Utrecht (PV),Polen,2038
Utrecht (PV),Portugal,405
Utrecht (PV),Somalië,2321
Utrecht (PV),Spanje,2228
Utrecht (PV),Suriname,17084
Utrecht (PV),Turkije,22321
Utrecht (PV),Verenigd Koninkrijk,4836
Utrecht (PV),Verenigde Staten van Amerika,2630
Utrecht (PV),Vietnam,1189
Utrecht (PV),Zuid-Afrika,1375
Utrecht (PV),Overig Afrika,4690
Utrecht (PV),Overig Amerika,2116
Utrecht (PV),Overig Azië,3342
Utrecht (PV),Overig Europa,4486
Utrecht (PV),Overig Oceanië,398
Noord-Holland (PV),Afghanistan,5463
Noord-Holland (PV),Australië,3494
Noord-Holland (PV),België,10892
Noord-Holland (PV),Brazilië,2903
Noord-Holland (PV),Canada en overig Noord-Amerika,2730
Noord-Holland (PV),China,5843
Noord-Holland (PV),Colombia,2113
Noord-Holland (PV),Dominicaanse Republiek,2599
Noord-Holland (PV),Duitsland,54609
Noord-Holland (PV),Egypte,6507
Noord-Holland (PV),Ethiopië,2825
Noord-Holland (PV),Filippijnen,3396
Noord-Holland (PV),Frankrijk,8132
Noord-Holland (PV),Ghana,10324
Noord-Holland (PV),Griekenland,1886
Noord-Holland (PV),Hongarije,2859
Noord-Holland (PV),Hongkong,4889
Noord-Holland (PV),India,4324
Noord-Holland (PV),Indonesië,79059
Noord-Holland (PV),Irak,6037
Noord-Holland (PV),Iran,5000
Noord-Holland (PV),Italië,9208
Noord-Holland (PV),Japan,3852
Noord-Holland (PV),Kaapverdië,1157
Noord-Holland (PV),Marokko,77448
Noord-Holland (PV),Oostenrijk,3476
Noord-Holland (PV),Pakistan,6361
Noord-Holland (PV),Polen,5176
Noord-Holland (PV),Portugal,5629
Noord-Holland (PV),Somalië,3648
Noord-Holland (PV),Spanje,8501
Noord-Holland (PV),Suriname,96328
Noord-Holland (PV),Turkije,66769
Noord-Holland (PV),Verenigd Koninkrijk,21032
Noord-Holland (PV),Verenigde Staten van Amerika,9737
Noord-Holland (PV),Vietnam,2942
Noord-Holland (PV),Zuid-Afrika,3547
Noord-Holland (PV),Overig Afrika,13691
Noord-Holland (PV),Overig Amerika,9484
Noord-Holland (PV),Overig Azië,13836
Noord-Holland (PV),Overig Europa,15008
