Regio,Migratieachtergrond,value
Nederland,Afghanistan,37370
Nederland,Australië,14667
Nederland,België,112333
Nederland,Brazilië,14823
Nederland,Canada en overig Noord-Amerika,13407
Nederland,China,47108
Nederland,Colombia,11031
Nederland,Dominicaanse Republiek,10672
Nederland,Duitsland,379610
Nederland,Egypte,19568
Nederland,Ethiopië,10659
Nederland,Filippijnen,14517
Nederland,Frankrijk,34584
Nederland,Ghana,19346
Nederland,Griekenland,13330
Nederland,Hongarije,13438
Nederland,Hongkong,18165
Nederland,India,17357
Nederland,Indonesië,387124
Nederland,Irak,45459
Nederland,Iran,29771
Nederland,Italië,37123
Nederland,Japan,7347
Nederland,Kaapverdië,20364
Nederland,Marokko,335127
Nederland,Oostenrijk,15446
Nederland,Pakistan,18478
Nederland,Polen,58853
Nederland,Portugal,18714
Nederland,Somalië,19549
Nederland,Spanje,31382
Nederland,Suriname,335799
Nederland,Turkije,372714
Nederland,Verenigd Koninkrijk,76090
Nederland,Verenigde Staten van Amerika,31478
Nederland,Vietnam,18562
Nederland,Zuid-Afrika,16073
Nederland,Overig Afrika,89189
Nederland,Overig Amerika,38976
Nederland,Overig Azië,73212
Nederland,Overig Europa,72961
Nederland,Overig Oceanië,5154
Groningen (PV),Afghanistan,784
Groningen (PV),Australië,394
Groningen (PV),België,1017
Groningen (PV),Brazilië,381
Groningen (PV),Canada en overig Noord-Amerika,437
Groningen (PV),China,1628
Groningen (PV),Colombia,241
Groningen (PV),Dominicaanse Republiek,400
Groningen (PV),Duitsland,12857
Groningen (PV),Egypte,290
Groningen (PV),Ethiopië,149
Groningen (PV),Filippijnen,280
Groningen (PV),Frankrijk,660
Groningen (PV),Ghana,114
Groningen (PV),Griekenland,246
Groningen (PV),Hongarije,285
Groningen (PV),Hongkong,244
Groningen (PV),India,331
Groningen (PV),Indonesië,10622
Groningen (PV),Irak,1196
Groningen (PV),Iran,1030
Groningen (PV),Italië,1009
Groningen (PV),Japan,90
Groningen (PV),Kaapverdië,261
Groningen (PV),Marokko,1485
Groningen (PV),Oostenrijk,313
Groningen (PV),Pakistan,220
Groningen (PV),Polen,1560
Groningen (PV),Portugal,173
Groningen (PV),Somalië,558
Groningen (PV),Spanje,366
Groningen (PV),Suriname,6066
Groningen (PV),Turkije,4583
Groningen (PV),Verenigd Koninkrijk,1631
Groningen (PV),Verenigde Staten van Amerika,713
Groningen (PV),Vietnam,334
Groningen (PV),Zuid-Afrika,400
Groningen (PV),Overig Afrika,2964
Groningen (PV),Overig Amerika,932
Groningen (PV),Overig Azië,2228
Groningen (PV),Overig Europa,2323
Groningen (PV),Overig Oceanië,100
Friesland (PV),Afghanistan,723
Friesland (PV),Australië,309
Friesland (PV),België,897
Friesland (PV),Brazilië,256
Friesland (PV),Canada en overig Noord-Amerika,707
Friesland (PV),China,1311
Friesland (PV),Colombia,163
Friesland (PV),Dominicaanse Republiek,154
Friesland (PV),Duitsland,10192
Friesland (PV),Egypte,326
Friesland (PV),Ethiopië,107
Friesland (PV),Filippijnen,375
Friesland (PV),Frankrijk,568
Friesland (PV),Ghana,93
Friesland (PV),Griekenland,203
Friesland (PV),Hongarije,252
Friesland (PV),Hongkong,158
Friesland (PV),India,324
Friesland (PV),Indonesië,7674
Friesland (PV),Irak,1925
Friesland (PV),Iran,576
Friesland (PV),Italië,581
Friesland (PV),Japan,36
Friesland (PV),Kaapverdië,86
Friesland (PV),Marokko,2128
Friesland (PV),Oostenrijk,305
Friesland (PV),Pakistan,191
Friesland (PV),Polen,1007
Friesland (PV),Portugal,139
Friesland (PV),Somalië,619
Friesland (PV),Spanje,264
Friesland (PV),Suriname,2922
Friesland (PV),Turkije,1657
Friesland (PV),Verenigd Koninkrijk,1356
Friesland (PV),Verenigde Staten van Amerika,624
Friesland (PV),Vietnam,745
Friesland (PV),Zuid-Afrika,414
Friesland (PV),Overig Afrika,2514
Friesland (PV),Overig Amerika,678
Friesland (PV),Overig Azië,1950
Friesland (PV),Overig Europa,1629
Friesland (PV),Overig Oceanië,120
Drenthe (PV),Afghanistan,464
Drenthe (PV),Australië,322
Drenthe (PV),België,681
Drenthe (PV),Brazilië,269
Drenthe (PV),Canada en overig Noord-Amerika,272
Drenthe (PV),China,929
Drenthe (PV),Colombia,116
Drenthe (PV),Dominicaanse Republiek,104
Drenthe (PV),Duitsland,9380
Drenthe (PV),Egypte,354
Drenthe (PV),Ethiopië,147
Drenthe (PV),Filippijnen,196
Drenthe (PV),Frankrijk,323
Drenthe (PV),Ghana,30
Drenthe (PV),Griekenland,125
Drenthe (PV),Hongarije,170
Drenthe (PV),Hongkong,131
Drenthe (PV),India,119
Drenthe (PV),Indonesië,7973
Drenthe (PV),Irak,1138
Drenthe (PV),Iran,533
Drenthe (PV),Italië,533
Drenthe (PV),Japan,24
Drenthe (PV),Kaapverdië,8
Drenthe (PV),Marokko,1382
Drenthe (PV),Oostenrijk,213
Drenthe (PV),Pakistan,155
Drenthe (PV),Polen,989
Drenthe (PV),Portugal,80
Drenthe (PV),Somalië,385
Drenthe (PV),Spanje,195
Drenthe (PV),Suriname,1803
Drenthe (PV),Turkije,1681
Drenthe (PV),Verenigd Koninkrijk,1137
Drenthe (PV),Verenigde Staten van Amerika,366
Drenthe (PV),Vietnam,298
Drenthe (PV),Zuid-Afrika,336
Drenthe (PV),Overig Afrika,1519
Drenthe (PV),Overig Amerika,354
Drenthe (PV),Overig Azië,1242
Drenthe (PV),Overig Europa,1093
Drenthe (PV),Overig Oceanië,87
Overijssel (PV),Afghanistan,1688
Overijssel (PV),Australië,658
Overijssel (PV),België,1640
Overijssel (PV),Brazilië,898
Overijssel (PV),Canada en overig Noord-Amerika,583
Overijssel (PV),China,2731
Overijssel (PV),Colombia,403
Overijssel (PV),Dominicaanse Republiek,305
Overijssel (PV),Duitsland,31642
Overijssel (PV),Egypte,345
Overijssel (PV),Ethiopië,425
Overijssel (PV),Filippijnen,499
Overijssel (PV),Frankrijk,1018
Overijssel (PV),Ghana,182
Overijssel (PV),Griekenland,287
Overijssel (PV),Hongarije,892
Overijssel (PV),Hongkong,469
Overijssel (PV),India,416
Overijssel (PV),Indonesië,20219
Overijssel (PV),Irak,4572
Overijssel (PV),Iran,1415
Overijssel (PV),Italië,2617
Overijssel (PV),Japan,78
Overijssel (PV),Kaapverdië,28
Overijssel (PV),Marokko,4240
Overijssel (PV),Oostenrijk,711
Overijssel (PV),Pakistan,373
Overijssel (PV),Polen,2308
Overijssel (PV),Portugal,296
Overijssel (PV),Somalië,760
Overijssel (PV),Spanje,1490
Overijssel (PV),Suriname,5230
Overijssel (PV),Turkije,34856
Overijssel (PV),Verenigd Koninkrijk,2228
Overijssel (PV),Verenigde Staten van Amerika,850
Overijssel (PV),Vietnam,919
Overijssel (PV),Zuid-Afrika,827
Overijssel (PV),Overig Afrika,4369
Overijssel (PV),Overig Amerika,1256
Overijssel (PV),Overig Azië,6700
Overijssel (PV),Overig Europa,2817
Overijssel (PV),Overig Oceanië,235
Flevoland (PV),Afghanistan,1228
Flevoland (PV),Australië,372
Flevoland (PV),België,1256
Flevoland (PV),Brazilië,535
Flevoland (PV),Canada en overig Noord-Amerika,414
Flevoland (PV),China,941
Flevoland (PV),Colombia,397
Flevoland (PV),Dominicaanse Republiek,368
Flevoland (PV),Duitsland,6354
Flevoland (PV),Egypte,788
Flevoland (PV),Ethiopië,212
Flevoland (PV),Filippijnen,838
Flevoland (PV),Frankrijk,805
Flevoland (PV),Ghana,1184
Flevoland (PV),Griekenland,253
Flevoland (PV),Hongarije,413
Flevoland (PV),Hongkong,466
Flevoland (PV),India,640
Flevoland (PV),Indonesië,9538
Flevoland (PV),Irak,2243
Flevoland (PV),Iran,1651
Flevoland (PV),Italië,827
Flevoland (PV),Japan,132
Flevoland (PV),Kaapverdië,105
Flevoland (PV),Marokko,9568
Flevoland (PV),Oostenrijk,342
Flevoland (PV),Pakistan,641
Flevoland (PV),Polen,1395
Flevoland (PV),Portugal,580
Flevoland (PV),Somalië,321
Flevoland (PV),Spanje,735
Flevoland (PV),Suriname,24523
Flevoland (PV),Turkije,5706
Flevoland (PV),Verenigd Koninkrijk,1691
Flevoland (PV),Verenigde Staten van Amerika,718
Flevoland (PV),Vietnam,935
Flevoland (PV),Zuid-Afrika,633
Flevoland (PV),Overig Afrika,3319
Flevoland (PV),Overig Amerika,1601
Flevoland (PV),Overig Azië,2224
Flevoland (PV),Overig Europa,1786
Flevoland (PV),Overig Oceanië,128
Gelderland (PV),Afghanistan,4767
Gelderland (PV),Australië,1435
Gelderland (PV),België,5503
Gelderland (PV),Brazilië,1179
Gelderland (PV),Canada en overig Noord-Amerika,1375
Gelderland (PV),China,4921
Gelderland (PV),Colombia,775
Gelderland (PV),Dominicaanse Republiek,692
Gelderland (PV),Duitsland,51139
Gelderland (PV),Egypte,971
Gelderland (PV),Ethiopië,828
Gelderland (PV),Filippijnen,1185
Gelderland (PV),Frankrijk,2674
Gelderland (PV),Ghana,574
Gelderland (PV),Griekenland,1062
Gelderland (PV),Hongarije,1346
Gelderland (PV),Hongkong,1352
Gelderland (PV),India,696
Gelderland (PV),Indonesië,45309
Gelderland (PV),Irak,4854
Gelderland (PV),Iran,2832
Gelderland (PV),Italië,3271
Gelderland (PV),Japan,236
Gelderland (PV),Kaapverdië,67
Gelderland (PV),Marokko,19468
