Regio,Migratieachtergrond,value
Nederland,Afghanistan,37230
Nederland,Australië,14526
Nederland,België,112224
Nederland,Brazilië,13964
Nederland,Canada en overig Noord-Amerika,13191
Nederland,China,45298
Nederland,Colombia,10631
Nederland,Dominicaanse Republiek,10303
Nederland,Duitsland,381186
Nederland,Egypte,19266
Nederland,Ethiopië,10454
Nederland,Filippijnen,14019
Nederland,Frankrijk,33845
Nederland,Ghana,19437
Nederland,Griekenland,13058
Nederland,Hongarije,12931
Nederland,Hongkong,18106
Nederland,India,16027
Nederland,Indonesië,389940
Nederland,Irak,43891
Nederland,Iran,28969
Nederland,Italië,36495
Nederland,Japan,7347
Nederland,Kaapverdië,20181
Nederland,Marokko,329493
Nederland,Oostenrijk,15455
Nederland,Pakistan,18374
Nederland,Polen,51339
Nederland,Portugal,17903
Nederland,Somalië,18918
Nederland,Spanje,31066
Nederland,Suriname,333504
Nederland,Turkije,368600
Nederland,Verenigd Koninkrijk,75686
Nederland,Verenigde Staten van Amerika,31154
Nederland,Vietnam,18441
Nederland,Zuid-Afrika,15718
Nederland,Overig Afrika,88205
Nederland,Overig Amerika,38165
Nederland,Overig Azië,71293
Nederland,Overig Europa,65539
Nederland,Overig Oceanië,5154
Groningen (PV),Afghanistan,779
Groningen (PV),Australië,400
Groningen (PV),België,1016
Groningen (PV),Brazilië,371
Groningen (PV),Canada en overig Noord-Amerika,428
Groningen (PV),China,1527
Groningen (PV),Colombia,219
Groningen (PV),Dominicaanse Republiek,378
Groningen (PV),Duitsland,12877
Groningen (PV),Egypte,293
Groningen (PV),Ethiopië,149
Groningen (PV),Filippijnen,261
Groningen (PV),Frankrijk,691
Groningen (PV),Ghana,118
Groningen (PV),Griekenland,237
Groningen (PV),Hongarije,266
Groningen (PV),Hongkong,247
Groningen (PV),India,294
Groningen (PV),Indonesië,10721
Groningen (PV),Irak,1140
Groningen (PV),Iran,1066
Groningen (PV),Italië,1007
Groningen (PV),Japan,77
Groningen (PV),Kaapverdië,266
Groningen (PV),Marokko,1504
Groningen (PV),Oostenrijk,312
Groningen (PV),Pakistan,206
Groningen (PV),Polen,1445
Groningen (PV),Portugal,175
Groningen (PV),Somalië,542
Groningen (PV),Spanje,390
Groningen (PV),Suriname,6108
Groningen (PV),Turkije,4506
Groningen (PV),Verenigd Koninkrijk,1643
Groningen (PV),Verenigde Staten van Amerika,720
Groningen (PV),Vietnam,333
Groningen (PV),Zuid-Afrika,397
Groningen (PV),Overig Afrika,2948
Groningen (PV),Overig Amerika,906
Groningen (PV),Overig Azië,2198
Groningen (PV),Overig Europa,2261
Groningen (PV),Overig Oceanië,107
Friesland (PV),Afghanistan,784
Friesland (PV),Australië,304
Friesland (PV),België,866
Friesland (PV),Brazilië,233
Friesland (PV),Canada en overig Noord-Amerika,724
Friesland (PV),China,1306
Friesland (PV),Colombia,159
Friesland (PV),Dominicaanse Republiek,147
Friesland (PV),Duitsland,10091
Friesland (PV),Egypte,313
