Regio,Migratieachtergrond,value
Nederland,Afghanistan,37021
Nederland,Australië,14379
Nederland,België,112731
Nederland,Brazilië,12289
Nederland,Canada en overig Noord-Amerika,12934
Nederland,China,43880
Nederland,Colombia,9885
Nederland,Dominicaanse Republiek,9843
Nederland,Duitsland,386716
Nederland,Egypte,18528
Nederland,Ethiopië,10292
Nederland,Filippijnen,12966
Nederland,Frankrijk,32995
Nederland,Ghana,19108
Nederland,Griekenland,12720
Nederland,Hongarije,12655
Nederland,Hongkong,18096
Nederland,India,13807
Nederland,Indonesië,396080
Nederland,Irak,43708
Nederland,Iran,28691
Nederland,Italië,35830
Nederland,Japan,7286
Nederland,Kaapverdië,19966
Nederland,Marokko,315821
Nederland,Oostenrijk,15426
Nederland,Pakistan,17894
Nederland,Polen,39815
Nederland,Portugal,17556
Nederland,Somalië,21733
Nederland,Spanje,31286
Nederland,Suriname,329430
Nederland,Turkije,358846
Nederland,Verenigd Koninkrijk,76344
Nederland,Verenigde Staten van Amerika,30482
Nederland,Vietnam,18019
Nederland,Zuid-Afrika,15370
Nederland,Overig Afrika,89649
Nederland,Overig Amerika,36075
Nederland,Overig Azië,67587
Nederland,Overig Europa,62579
Nederland,Overig Oceanië,5141
Groningen (PV),Afghanistan,954
Groningen (PV),Australië,381
Groningen (PV),België,979
Groningen (PV),Brazilië,316
Groningen (PV),Canada en overig Noord-Amerika,395
Groningen (PV),China,1488
Groningen (PV),Colombia,223
Groningen (PV),Dominicaanse Republiek,371
Groningen (PV),Duitsland,12882
Groningen (PV),Egypte,277
Groningen (PV),Ethiopië,150
Groningen (PV),Filippijnen,245
Groningen (PV),Frankrijk,678
Groningen (PV),Ghana,92
Groningen (PV),Griekenland,221
Groningen (PV),Hongarije,254
Groningen (PV),Hongkong,257
Groningen (PV),India,212
Groningen (PV),Indonesië,10946
Groningen (PV),Irak,1242
Groningen (PV),Iran,1137
Groningen (PV),Italië,994
Groningen (PV),Japan,81
Groningen (PV),Kaapverdië,283
Groningen (PV),Marokko,1442
Groningen (PV),Oostenrijk,314
Groningen (PV),Pakistan,197
Groningen (PV),Polen,1247
Groningen (PV),Portugal,169
Groningen (PV),Somalië,573
Groningen (PV),Spanje,415
Groningen (PV),Suriname,6127
Groningen (PV),Turkije,4431
Groningen (PV),Verenigd Koninkrijk,1675
Groningen (PV),Verenigde Staten van Amerika,665
Groningen (PV),Vietnam,304
Groningen (PV),Zuid-Afrika,379
Groningen (PV),Overig Afrika,3477
Groningen (PV),Overig Amerika,840
Groningen (PV),Overig Azië,2077
Groningen (PV),Overig Europa,2183
Groningen (PV),Overig Oceanië,111
Friesland (PV),Afghanistan,1066
Friesland (PV),Australië,321
Friesland (PV),België,816
Friesland (PV),Brazilië,212
Friesland (PV),Canada en overig Noord-Amerika,731
Friesland (PV),China,1415
Friesland (PV),Colombia,127
Friesland (PV),Dominicaanse Republiek,125
Friesland (PV),Duitsland,9991
Friesland (PV),Egypte,324
Friesland (PV),Ethiopië,139
Friesland (PV),Filippijnen,318
Friesland (PV),Frankrijk,543
Friesland (PV),Ghana,77
Friesland (PV),Griekenland,191
Friesland (PV),Hongarije,224
Friesland (PV),Hongkong,165
Friesland (PV),India,256
Friesland (PV),Indonesië,7809
Friesland (PV),Irak,2032
Friesland (PV),Iran,700
Friesland (PV),Italië,565
Friesland (PV),Japan,33
Friesland (PV),Kaapverdië,88
Friesland (PV),Marokko,2142
Friesland (PV),Oostenrijk,321
Friesland (PV),Pakistan,170
Friesland (PV),Polen,854
Friesland (PV),Portugal,120
Friesland (PV),Somalië,763
Friesland (PV),Spanje,258
Friesland (PV),Suriname,2876
Friesland (PV),Turkije,1621
Friesland (PV),Verenigd Koninkrijk,1341
Friesland (PV),Verenigde Staten van Amerika,619
Friesland (PV),Vietnam,814
Friesland (PV),Zuid-Afrika,383
Friesland (PV),Overig Afrika,3393
Friesland (PV),Overig Amerika,635
Friesland (PV),Overig Azië,1885
Friesland (PV),Overig Europa,1420
Friesland (PV),Overig Oceanië,122
Drenthe (PV),Afghanistan,625
Drenthe (PV),Australië,294
Drenthe (PV),België,653
Drenthe (PV),Brazilië,213
Drenthe (PV),Canada en overig Noord-Amerika,281
Drenthe (PV),China,886
Drenthe (PV),Colombia,68
Drenthe (PV),Dominicaanse Republiek,82
Drenthe (PV),Duitsland,9137
Drenthe (PV),Egypte,348
Drenthe (PV),Ethiopië,138
Drenthe (PV),Filippijnen,173
Drenthe (PV),Frankrijk,305
Drenthe (PV),Ghana,29
Drenthe (PV),Griekenland,124
Drenthe (PV),Hongarije,143
Drenthe (PV),Hongkong,143
Drenthe (PV),India,91
Drenthe (PV),Indonesië,8008
Drenthe (PV),Irak,1105
Drenthe (PV),Iran,556
Drenthe (PV),Italië,544
Drenthe (PV),Japan,18
Drenthe (PV),Kaapverdië,8
Drenthe (PV),Marokko,1303
Drenthe (PV),Oostenrijk,205
Drenthe (PV),Pakistan,130
Drenthe (PV),Polen,827
Drenthe (PV),Portugal,89
