Regio,Migratieachtergrond,value
Nederland,Afghanistan,40064
Nederland,Australië,15079
Nederland,België,113513
Nederland,Brazilië,18097
Nederland,Canada en overig Noord-Amerika,14313
Nederland,China,55880
Nederland,Colombia,12968
Nederland,Dominicaanse Republiek,12140
Nederland,Duitsland,378581
Nederland,Egypte,21073
Nederland,Ethiopië,11547
Nederland,Filippijnen,16719
Nederland,Frankrijk,38040
Nederland,Ghana,21376
Nederland,Griekenland,15052
Nederland,Hongarije,16901
Nederland,Hongkong,18261
Nederland,India,21729
Nederland,Indonesië,380047
Nederland,Irak,52858
Nederland,Iran,32777
Nederland,Italië,40397
Nederland,Japan,7225
Nederland,Kaapverdië,21218
Nederland,Marokko,355883
Nederland,Oostenrijk,15662
Nederland,Pakistan,19408
Nederland,Polen,87323
Nederland,Portugal,21278
Nederland,Somalië,31237
Nederland,Spanje,34528
Nederland,Suriname,344734
Nederland,Turkije,388967
Nederland,Verenigd Koninkrijk,79316
Nederland,Verenigde Staten van Amerika,33749
Nederland,Vietnam,19510
Nederland,Zuid-Afrika,17527
Nederland,Overig Afrika,97381
Nederland,Overig Amerika,43990
Nederland,Overig Azië,82556
Nederland,Overig Europa,90747
Nederland,Overig Oceanië,5397
Groningen (PV),Afghanistan,711
Groningen (PV),Australië,422
Groningen (PV),België,1069
Groningen (PV),Brazilië,478
Groningen (PV),Canada en overig Noord-Amerika,469
Groningen (PV),China,1874
Groningen (PV),Colombia,279
Groningen (PV),Dominicaanse Republiek,431
Groningen (PV),Duitsland,13916
Groningen (PV),Egypte,312
Groningen (PV),Ethiopië,179
Groningen (PV),Filippijnen,316
Groningen (PV),Frankrijk,725
Groningen (PV),Ghana,135
Groningen (PV),Griekenland,274
Groningen (PV),Hongarije,354
Groningen (PV),Hongkong,231
Groningen (PV),India,436
Groningen (PV),Indonesië,10429
Groningen (PV),Irak,1422
Groningen (PV),Iran,1184
Groningen (PV),Italië,1140
Groningen (PV),Japan,114
Groningen (PV),Kaapverdië,261
Groningen (PV),Marokko,1618
Groningen (PV),Oostenrijk,345
Groningen (PV),Pakistan,265
Groningen (PV),Polen,1846
Groningen (PV),Portugal,214
Groningen (PV),Somalië,1032
Groningen (PV),Spanje,560
Groningen (PV),Suriname,6200
Groningen (PV),Turkije,4878
Groningen (PV),Verenigd Koninkrijk,1736
Groningen (PV),Verenigde Staten van Amerika,837
Groningen (PV),Vietnam,360
Groningen (PV),Zuid-Afrika,455
Groningen (PV),Overig Afrika,3012
Groningen (PV),Overig Amerika,1092
Groningen (PV),Overig Azië,2579
Groningen (PV),Overig Europa,2773
Groningen (PV),Overig Oceanië,114
Friesland (PV),Afghanistan,828
Friesland (PV),Australië,333
Friesland (PV),België,933
Friesland (PV),Brazilië,299
Friesland (PV),Canada en overig Noord-Amerika,728
Friesland (PV),China,1425
Friesland (PV),Colombia,191
Friesland (PV),Dominicaanse Republiek,164
Friesland (PV),Duitsland,10586
Friesland (PV),Egypte,337
Friesland (PV),Ethiopië,114
Friesland (PV),Filippijnen,431
Friesland (PV),Frankrijk,578
Friesland (PV),Ghana,101
Friesland (PV),Griekenland,208
Friesland (PV),Hongarije,333
Friesland (PV),Hongkong,147
Friesland (PV),India,388
Friesland (PV),Indonesië,7523
Friesland (PV),Irak,1896
Friesland (PV),Iran,541
Friesland (PV),Italië,576
Friesland (PV),Japan,47
Friesland (PV),Kaapverdië,87
