Regio,Migratieachtergrond,value
Overijssel (PV),Australië,634
Overijssel (PV),België,1494
Overijssel (PV),Brazilië,691
Overijssel (PV),Canada en overig Noord-Amerika,566
Overijssel (PV),China,2840
Overijssel (PV),Colombia,324
Overijssel (PV),Dominicaanse Republiek,214
Overijssel (PV),Duitsland,32701
Overijssel (PV),Egypte,310
Overijssel (PV),Ethiopië,383
Overijssel (PV),Filippijnen,437
Overijssel (PV),Frankrijk,922
Overijssel (PV),Ghana,142
Overijssel (PV),Griekenland,258
Overijssel (PV),Hongarije,902
Overijssel (PV),Hongkong,493
Overijssel (PV),India,324
Overijssel (PV),Indonesië,21042
Overijssel (PV),Irak,3911
Overijssel (PV),Iran,1509
Overijssel (PV),Italië,2698
Overijssel (PV),Japan,43
Overijssel (PV),Kaapverdië,19
Overijssel (PV),Marokko,3881
Overijssel (PV),Oostenrijk,677
Overijssel (PV),Pakistan,249
Overijssel (PV),Polen,1738
Overijssel (PV),Portugal,281
Overijssel (PV),Somalië,948
Overijssel (PV),Spanje,1563
Overijssel (PV),Suriname,4971
Overijssel (PV),Turkije,32962
Overijssel (PV),Verenigd Koninkrijk,2172
Overijssel (PV),Verenigde Staten van Amerika,867
Overijssel (PV),Vietnam,1051
Overijssel (PV),Zuid-Afrika,733
Overijssel (PV),Overig Afrika,4422
Overijssel (PV),Overig Amerika,1110
Overijssel (PV),Overig Azië,5681
Overijssel (PV),Overig Europa,2463
Overijssel (PV),Overig Oceanië,258
Flevoland (PV),Afghanistan,699
Flevoland (PV),Australië,321
Flevoland (PV),België,1157
Flevoland (PV),Brazilië,371
Flevoland (PV),Canada en overig Noord-Amerika,407
Flevoland (PV),China,792
Flevoland (PV),Colombia,278
Flevoland (PV),Dominicaanse Republiek,269
Flevoland (PV),Duitsland,6234
Flevoland (PV),Egypte,651
Flevoland (PV),Ethiopië,184
Flevoland (PV),Filippijnen,655
Flevoland (PV),Frankrijk,688
Flevoland (PV),Ghana,831
Flevoland (PV),Griekenland,217
Flevoland (PV),Hongarije,307
Flevoland (PV),Hongkong,437
Flevoland (PV),India,417
Flevoland (PV),Indonesië,9311
Flevoland (PV),Irak,1893
Flevoland (PV),Iran,1335
Flevoland (PV),Italië,789
Flevoland (PV),Japan,121
Flevoland (PV),Kaapverdië,67
Flevoland (PV),Marokko,7068
Flevoland (PV),Oostenrijk,340
Flevoland (PV),Pakistan,514
Flevoland (PV),Polen,941
Flevoland (PV),Portugal,505
Flevoland (PV),Somalië,341
Flevoland (PV),Spanje,658
Flevoland (PV),Suriname,19282
Flevoland (PV),Turkije,4381
Flevoland (PV),Verenigd Koninkrijk,1716
Flevoland (PV),Verenigde Staten van Amerika,709
Flevoland (PV),Vietnam,769
Flevoland (PV),Zuid-Afrika,594
Flevoland (PV),Overig Afrika,2569
Flevoland (PV),Overig Amerika,1235
Flevoland (PV),Overig Azië,1733
Flevoland (PV),Overig Europa,1452
Flevoland (PV),Overig Oceanië,135
Gelderland (PV),Afghanistan,4583
Gelderland (PV),Australië,1370
Gelderland (PV),België,5264
Gelderland (PV),Brazilië,936
Gelderland (PV),Canada en overig Noord-Amerika,1297
Gelderland (PV),China,3909
Gelderland (PV),Colombia,602
Gelderland (PV),Dominicaanse Republiek,609
Gelderland (PV),Duitsland,53232
Gelderland (PV),Egypte,894
Gelderland (PV),Ethiopië,751
Gelderland (PV),Filippijnen,932
Gelderland (PV),Frankrijk,2381
Gelderland (PV),Ghana,476
Gelderland (PV),Griekenland,968
