Regio,Migratieachtergrond,value
Nederland,Afghanistan,37709
Nederland,Australië,14764
Nederland,België,112600
Nederland,Brazilië,16035
Nederland,Canada en overig Noord-Amerika,13807
Nederland,China,50377
Nederland,Colombia,11582
Nederland,Dominicaanse Republiek,11069
Nederland,Duitsland,379559
Nederland,Egypte,19976
Nederland,Ethiopië,10946
Nederland,Filippijnen,15363
Nederland,Frankrijk,36112
Nederland,Ghana,19733
Nederland,Griekenland,13888
Nederland,Hongarije,14464
Nederland,Hongkong,18201
Nederland,India,19297
Nederland,Indonesië,384497
Nederland,Irak,49202
Nederland,Iran,30613
Nederland,Italië,38355
Nederland,Japan,7524
Nederland,Kaapverdië,20669
Nederland,Marokko,341528
Nederland,Oostenrijk,15548
Nederland,Pakistan,18579
Nederland,Polen,68844
Nederland,Portugal,19950
Nederland,Somalië,21798
Nederland,Spanje,32405
Nederland,Suriname,338678
Nederland,Turkije,378330
Nederland,Verenigd Koninkrijk,77550
Nederland,Verenigde Staten van Amerika,32423
Nederland,Vietnam,18913
Nederland,Zuid-Afrika,16739
Nederland,Overig Afrika,92260
Nederland,Overig Amerika,40568
Nederland,Overig Azië,76371
Nederland,Overig Europa,80316
Nederland,Overig Oceanië,5261
Groningen (PV),Afghanistan,682
Groningen (PV),Australië,393
Groningen (PV),België,1023
Groningen (PV),Brazilië,407
Groningen (PV),Canada en overig Noord-Amerika,451
Groningen (PV),China,1762
Groningen (PV),Colombia,240
Groningen (PV),Dominicaanse Republiek,397
Groningen (PV),Duitsland,13219
Groningen (PV),Egypte,290
Groningen (PV),Ethiopië,153
Groningen (PV),Filippijnen,296
Groningen (PV),Frankrijk,689
Groningen (PV),Ghana,120
Groningen (PV),Griekenland,248
Groningen (PV),Hongarije,294
Groningen (PV),Hongkong,238
Groningen (PV),India,377
Groningen (PV),Indonesië,10529
Groningen (PV),Irak,1268
Groningen (PV),Iran,1040
Groningen (PV),Italië,1050
Groningen (PV),Japan,107
Groningen (PV),Kaapverdië,258
Groningen (PV),Marokko,1531
Groningen (PV),Oostenrijk,331
Groningen (PV),Pakistan,229
Groningen (PV),Polen,1683
Groningen (PV),Portugal,187
Groningen (PV),Somalië,637
Groningen (PV),Spanje,449
Groningen (PV),Suriname,6122
Groningen (PV),Turkije,4635
Groningen (PV),Verenigd Koninkrijk,1638
Groningen (PV),Verenigde Staten van Amerika,740
Groningen (PV),Vietnam,341
Groningen (PV),Zuid-Afrika,425
Groningen (PV),Overig Afrika,2894
Groningen (PV),Overig Amerika,977
Groningen (PV),Overig Azië,2272
Groningen (PV),Overig Europa,2504
Groningen (PV),Overig Oceanië,98
Friesland (PV),Afghanistan,681
Friesland (PV),Australië,306
Friesland (PV),België,918
Friesland (PV),Brazilië,272
Friesland (PV),Canada en overig Noord-Amerika,708
Friesland (PV),China,1249
Friesland (PV),Colombia,170
Friesland (PV),Dominicaanse Republiek,155
Friesland (PV),Duitsland,10322
Friesland (PV),Egypte,335
Friesland (PV),Ethiopië,112
Friesland (PV),Filippijnen,394
Friesland (PV),Frankrijk,573
Friesland (PV),Ghana,101
Friesland (PV),Griekenland,198
Friesland (PV),Hongarije,302
Friesland (PV),Hongkong,152
Friesland (PV),India,352
Friesland (PV),Indonesië,7596
Friesland (PV),Irak,2104
Friesland (PV),Iran,533
Friesland (PV),Italië,571
Friesland (PV),Japan,39
Friesland (PV),Kaapverdië,89
Friesland (PV),Marokko,2145
Friesland (PV),Oostenrijk,305
Friesland (PV),Pakistan,190
Friesland (PV),Polen,1160
Friesland (PV),Portugal,147
Friesland (PV),Somalië,804
Friesland (PV),Spanje,266
Friesland (PV),Suriname,2940
Friesland (PV),Turkije,1664
Friesland (PV),Verenigd Koninkrijk,1400
Friesland (PV),Verenigde Staten van Amerika,629
Friesland (PV),Vietnam,741
Friesland (PV),Zuid-Afrika,422
Friesland (PV),Overig Afrika,2481
Friesland (PV),Overig Amerika,682
Friesland (PV),Overig Azië,1961
Friesland (PV),Overig Europa,1762
Friesland (PV),Overig Oceanië,125
Drenthe (PV),Afghanistan,440
Drenthe (PV),Australië,319
Drenthe (PV),België,675
Drenthe (PV),Brazilië,296
Drenthe (PV),Canada en overig Noord-Amerika,265
Drenthe (PV),China,929
Drenthe (PV),Colombia,117
Drenthe (PV),Dominicaanse Republiek,104
Drenthe (PV),Duitsland,9527
Drenthe (PV),Egypte,349
Drenthe (PV),Ethiopië,137
Drenthe (PV),Filippijnen,205
Drenthe (PV),Frankrijk,340
Drenthe (PV),Ghana,35
Drenthe (PV),Griekenland,128
Drenthe (PV),Hongarije,182
Drenthe (PV),Hongkong,139
Drenthe (PV),India,137
Drenthe (PV),Indonesië,7951
Drenthe (PV),Irak,1291
Drenthe (PV),Iran,511
Drenthe (PV),Italië,536
Drenthe (PV),Japan,24
Drenthe (PV),Kaapverdië,10
Drenthe (PV),Marokko,1427
Drenthe (PV),Oostenrijk,212
Drenthe (PV),Pakistan,154
Drenthe (PV),Polen,1055
Drenthe (PV),Portugal,94
Drenthe (PV),Somalië,491
Drenthe (PV),Spanje,221
Drenthe (PV),Suriname,1818
Drenthe (PV),Turkije,1690
Drenthe (PV),Verenigd Koninkrijk,1115
Drenthe (PV),Verenigde Staten van Amerika,384
Drenthe (PV),Vietnam,297
Drenthe (PV),Zuid-Afrika,349
Drenthe (PV),Overig Afrika,1476
Drenthe (PV),Overig Amerika,367
Drenthe (PV),Overig Azië,1279
Drenthe (PV),Overig Europa,1121
Drenthe (PV),Overig Oceanië,84
Overijssel (PV),Afghanistan,1697
Overijssel (PV),Australië,668
Overijssel (PV),België,1656
Overijssel (PV),Brazilië,974
Overijssel (PV),Canada en overig Noord-Amerika,635
Overijssel (PV),China,2808
Overijssel (PV),Colombia,412
Overijssel (PV),Dominicaanse Republiek,316
Overijssel (PV),Duitsland,31684
Overijssel (PV),Egypte,354
Overijssel (PV),Ethiopië,417
Overijssel (PV),Filippijnen,509
Overijssel (PV),Frankrijk,1061
Overijssel (PV),Ghana,182
Overijssel (PV),Griekenland,301
Overijssel (PV),Hongarije,940
Overijssel (PV),Hongkong,462
Overijssel (PV),India,445
Overijssel (PV),Indonesië,20115
Overijssel (PV),Irak,5095
Overijssel (PV),Iran,1491
