Regio,Migratieachtergrond,value
Nederland,Afghanistan,37246
Nederland,Australië,14431
Nederland,België,112315
Nederland,Brazilië,13091
Nederland,Canada en overig Noord-Amerika,13102
Nederland,China,44713
Nederland,Colombia,10335
Nederland,Dominicaanse Republiek,10115
Nederland,Duitsland,383841
Nederland,Egypte,18995
Nederland,Ethiopië,10339
Nederland,Filippijnen,13499
Nederland,Frankrijk,33556
Nederland,Ghana,19537
Nederland,Griekenland,12900
Nederland,Hongarije,12860
Nederland,Hongkong,18132
Nederland,India,14682
Nederland,Indonesië,393057
Nederland,Irak,43757
Nederland,Iran,28722
Nederland,Italië,36150
Nederland,Japan,7347
Nederland,Kaapverdië,20103
Nederland,Marokko,323239
Nederland,Oostenrijk,15421
Nederland,Pakistan,18184
Nederland,Polen,45402
Nederland,Portugal,17687
Nederland,Somalië,19893
Nederland,Spanje,31241
Nederland,Suriname,331890
Nederland,Turkije,364333
Nederland,Verenigd Koninkrijk,76017
Nederland,Verenigde Staten van Amerika,30726
Nederland,Vietnam,18271
Nederland,Zuid-Afrika,15487
Nederland,Overig Afrika,88973
Nederland,Overig Amerika,37307
Nederland,Overig Azië,69524
Nederland,Overig Europa,64018
Nederland,Overig Oceanië,5171
Groningen (PV),Afghanistan,858
Groningen (PV),Australië,388
Groningen (PV),België,994
Groningen (PV),Brazilië,334
Groningen (PV),Canada en overig Noord-Amerika,415
Groningen (PV),China,1478
Groningen (PV),Colombia,220
Groningen (PV),Dominicaanse Republiek,372
Groningen (PV),Duitsland,12909
Groningen (PV),Egypte,286
Groningen (PV),Ethiopië,139
Groningen (PV),Filippijnen,257
Groningen (PV),Frankrijk,676
Groningen (PV),Ghana,104
Groningen (PV),Griekenland,223
Groningen (PV),Hongarije,260
Groningen (PV),Hongkong,255
Groningen (PV),India,261
Groningen (PV),Indonesië,10796
Groningen (PV),Irak,1196
Groningen (PV),Iran,1098
Groningen (PV),Italië,1003
Groningen (PV),Japan,77
Groningen (PV),Kaapverdië,271
Groningen (PV),Marokko,1475
Groningen (PV),Oostenrijk,309
Groningen (PV),Pakistan,208
Groningen (PV),Polen,1375
Groningen (PV),Portugal,176
Groningen (PV),Somalië,533
Groningen (PV),Spanje,391
Groningen (PV),Suriname,6123
Groningen (PV),Turkije,4479
Groningen (PV),Verenigd Koninkrijk,1668
Groningen (PV),Verenigde Staten van Amerika,679
Groningen (PV),Vietnam,325
Groningen (PV),Zuid-Afrika,393
Groningen (PV),Overig Afrika,3237
Groningen (PV),Overig Amerika,861
Groningen (PV),Overig Azië,2163
Groningen (PV),Overig Europa,2230
Groningen (PV),Overig Oceanië,106
Friesland (PV),Afghanistan,869
Friesland (PV),Australië,325
Friesland (PV),België,829
