Regio,Migratieachtergrond,value
Nederland,Afghanistan,26394
Nederland,Australië,12805
Nederland,België,113066
Nederland,Brazilië,9562
Nederland,Canada en overig Noord-Amerika,11720
Nederland,China,32280
Nederland,Colombia,7484
Nederland,Dominicaanse Republiek,8035
Nederland,Duitsland,398776
Nederland,Egypte,15165
Nederland,Ethiopië,9392
Nederland,Filippijnen,10449
Nederland,Frankrijk,30906
Nederland,Ghana,16429
Nederland,Griekenland,11637
Nederland,Hongarije,12104
Nederland,Hongkong,17635
Nederland,India,12032
Nederland,Indonesië,403894
Nederland,Irak,38191
Nederland,Iran,24642
Nederland,Italië,34529
Nederland,Japan,6859
Nederland,Kaapverdië,18558
Nederland,Marokko,272752
Nederland,Oostenrijk,15488
Nederland,Pakistan,16787
Nederland,Polen,30600
Nederland,Portugal,14976
Nederland,Somalië,29631
Nederland,Spanje,30425
Nederland,Suriname,308824
Nederland,Turkije,319600
Nederland,Verenigd Koninkrijk,71904
Nederland,Verenigde Staten van Amerika,28080
Nederland,Vietnam,15302
Nederland,Zuid-Afrika,13459
Nederland,Overig Afrika,61391
Nederland,Overig Amerika,29012
Nederland,Overig Azië,53093
Nederland,Overig Europa,54539
Nederland,Overig Oceanië,4596
Groningen (PV),Afghanistan,853
Groningen (PV),Australië,319
Groningen (PV),België,906
Groningen (PV),Brazilië,245
Groningen (PV),Canada en overig Noord-Amerika,345
Groningen (PV),China,1087
Groningen (PV),Colombia,156
Groningen (PV),Dominicaanse Republiek,346
Groningen (PV),Duitsland,12919
Groningen (PV),Egypte,203
Groningen (PV),Ethiopië,151
Groningen (PV),Filippijnen,194
Groningen (PV),Frankrijk,607
Groningen (PV),Ghana,78
Groningen (PV),Griekenland,196
Groningen (PV),Hongarije,246
Groningen (PV),Hongkong,267
Groningen (PV),India,186
Groningen (PV),Indonesië,11013
Groningen (PV),Irak,1234
Groningen (PV),Iran,985
Groningen (PV),Italië,935
Groningen (PV),Japan,97
Groningen (PV),Kaapverdië,277
Groningen (PV),Marokko,1227
Groningen (PV),Oostenrijk,299
Groningen (PV),Pakistan,206
Groningen (PV),Polen,1006
Groningen (PV),Portugal,149
Groningen (PV),Somalië,786
Groningen (PV),Spanje,332
Groningen (PV),Suriname,5952
Groningen (PV),Turkije,3979
Groningen (PV),Verenigd Koninkrijk,1556
Groningen (PV),Verenigde Staten van Amerika,634
Groningen (PV),Vietnam,251
Groningen (PV),Zuid-Afrika,303
Groningen (PV),Overig Afrika,2010
Groningen (PV),Overig Amerika,652
Groningen (PV),Overig Azië,1500
Groningen (PV),Overig Europa,1749
Groningen (PV),Overig Oceanië,94
Friesland (PV),Afghanistan,1035
Friesland (PV),Australië,294
Friesland (PV),België,766
Friesland (PV),Brazilië,163
Friesland (PV),Canada en overig Noord-Amerika,700
Friesland (PV),China,897
Friesland (PV),Colombia,94
Friesland (PV),Dominicaanse Republiek,94
Friesland (PV),Duitsland,9910
Friesland (PV),Egypte,265
Friesland (PV),Ethiopië,147
Friesland (PV),Filippijnen,235
Friesland (PV),Frankrijk,506
Friesland (PV),Ghana,74
Friesland (PV),Griekenland,185
Friesland (PV),Hongarije,214
Friesland (PV),Hongkong,164
Friesland (PV),India,196
Friesland (PV),Indonesië,7794
Friesland (PV),Irak,2288
Friesland (PV),Iran,642
Friesland (PV),Italië,540
Friesland (PV),Japan,31
Friesland (PV),Kaapverdië,96
Friesland (PV),Marokko,2026
Friesland (PV),Oostenrijk,290
Friesland (PV),Pakistan,169
Friesland (PV),Polen,699
Friesland (PV),Portugal,99
Friesland (PV),Somalië,1027
Friesland (PV),Spanje,228
Friesland (PV),Suriname,2828
Friesland (PV),Turkije,1441
Friesland (PV),Verenigd Koninkrijk,1279
Friesland (PV),Verenigde Staten van Amerika,574
Friesland (PV),Vietnam,715
Friesland (PV),Zuid-Afrika,295
