Regio,Migratieachtergrond,value
Overijssel (PV),Australië,696
Overijssel (PV),België,1786
Overijssel (PV),Brazilië,1318
Overijssel (PV),Canada en overig Noord-Amerika,660
Overijssel (PV),China,3328
Overijssel (PV),Colombia,592
Overijssel (PV),Dominicaanse Republiek,428
Overijssel (PV),Duitsland,29064
Overijssel (PV),Egypte,430
Overijssel (PV),Ethiopië,644
Overijssel (PV),Filippijnen,723
Overijssel (PV),Frankrijk,1054
Overijssel (PV),Ghana,184
Overijssel (PV),Griekenland,443
Overijssel (PV),Hongarije,1146
Overijssel (PV),Hongkong,426
Overijssel (PV),India,703
Overijssel (PV),Indonesië,19161
Overijssel (PV),Irak,6413
Overijssel (PV),Iran,1713
Overijssel (PV),Italië,2732
Overijssel (PV),Japan,83
Overijssel (PV),Kaapverdië,35
Overijssel (PV),Marokko,4299
Overijssel (PV),Oostenrijk,741
Overijssel (PV),Pakistan,423
Overijssel (PV),Polen,4868
Overijssel (PV),Portugal,355
Overijssel (PV),Somalië,1361
Overijssel (PV),Spanje,1646
Overijssel (PV),Suriname,5456
Overijssel (PV),Turkije,34473
Overijssel (PV),Verenigd Koninkrijk,2342
Overijssel (PV),Verenigde Staten van Amerika,958
Overijssel (PV),Vietnam,949
Overijssel (PV),Zuid-Afrika,1009
Overijssel (PV),Overig Afrika,4976
Overijssel (PV),Overig Amerika,1676
Overijssel (PV),Overig Azië,11552
Overijssel (PV),Overig Europa,3703
Overijssel (PV),Overig Oceanië,283
Flevoland (PV),Afghanistan,1645
Flevoland (PV),Australië,379
Flevoland (PV),België,1345
Flevoland (PV),Brazilië,755
Flevoland (PV),Canada en overig Noord-Amerika,483
Flevoland (PV),China,1585
Flevoland (PV),Colombia,547
Flevoland (PV),Dominicaanse Republiek,551
Flevoland (PV),Duitsland,6178
Flevoland (PV),Egypte,922
Flevoland (PV),Ethiopië,470
Flevoland (PV),Filippijnen,1065
Flevoland (PV),Frankrijk,832
Flevoland (PV),Ghana,1478
Flevoland (PV),Griekenland,314
Flevoland (PV),Hongarije,607
Flevoland (PV),Hongkong,484
Flevoland (PV),India,1133
Flevoland (PV),Indonesië,9374
Flevoland (PV),Irak,2675
Flevoland (PV),Iran,1995
Flevoland (PV),Italië,963
Flevoland (PV),Japan,150
Flevoland (PV),Kaapverdië,140
Flevoland (PV),Marokko,11249
Flevoland (PV),Oostenrijk,317
Flevoland (PV),Pakistan,788
Flevoland (PV),Polen,5004
Flevoland (PV),Portugal,791
Flevoland (PV),Somalië,793
Flevoland (PV),Spanje,909
Flevoland (PV),Suriname,27601
Flevoland (PV),Turkije,6370
Flevoland (PV),Verenigd Koninkrijk,1716
Flevoland (PV),Verenigde Staten van Amerika,766
Flevoland (PV),Vietnam,1241
Flevoland (PV),Zuid-Afrika,697
Flevoland (PV),Overig Afrika,4393
Flevoland (PV),Overig Amerika,2040
Flevoland (PV),Overig Azië,4015
Flevoland (PV),Overig Europa,2461
Flevoland (PV),Overig Oceanië,142
Gelderland (PV),Afghanistan,5432
Gelderland (PV),Australië,1473
Gelderland (PV),België,5815
Gelderland (PV),Brazilië,1838
Gelderland (PV),Canada en overig Noord-Amerika,1536
Gelderland (PV),China,6030
Gelderland (PV),Colombia,1081
Gelderland (PV),Dominicaanse Republiek,860
Gelderland (PV),Duitsland,48015
Gelderland (PV),Egypte,1039
Gelderland (PV),Ethiopië,1042
Gelderland (PV),Filippijnen,1562
Gelderland (PV),Frankrijk,2849
Gelderland (PV),Ghana,591
Gelderland (PV),Griekenland,1385
Gelderland (PV),Hongarije,1976
Gelderland (PV),Hongkong,1275
Gelderland (PV),India,1226
Gelderland (PV),Indonesië,42924
Gelderland (PV),Irak,6240
Gelderland (PV),Iran,3470
Gelderland (PV),Italië,3638
Gelderland (PV),Japan,262
Gelderland (PV),Kaapverdië,76
Gelderland (PV),Marokko,21728
Gelderland (PV),Oostenrijk,1588
Gelderland (PV),Pakistan,540
Gelderland (PV),Polen,10718
Gelderland (PV),Portugal,930
Gelderland (PV),Somalië,3699
Gelderland (PV),Spanje,2651
Gelderland (PV),Suriname,11622
Gelderland (PV),Turkije,39538
Gelderland (PV),Verenigd Koninkrijk,5765
Gelderland (PV),Verenigde Staten van Amerika,2318
Gelderland (PV),Vietnam,2427
Gelderland (PV),Zuid-Afrika,1820
Gelderland (PV),Overig Afrika,9308
Gelderland (PV),Overig Amerika,3596
Gelderland (PV),Overig Azië,11650
Gelderland (PV),Overig Europa,7723
Gelderland (PV),Overig Oceanië,522
Utrecht (PV),Afghanistan,3773
Utrecht (PV),Australië,1376
Utrecht (PV),België,5209
Utrecht (PV),Brazilië,1475
Utrecht (PV),Canada en overig Noord-Amerika,1342
Utrecht (PV),China,4934
Utrecht (PV),Colombia,1089
Utrecht (PV),Dominicaanse Republiek,521
Utrecht (PV),Duitsland,19673
Utrecht (PV),Egypte,1249
Utrecht (PV),Ethiopië,1365
Utrecht (PV),Filippijnen,1136
Utrecht (PV),Frankrijk,3073
Utrecht (PV),Ghana,641
Utrecht (PV),Griekenland,2721
Utrecht (PV),Hongarije,1381
Utrecht (PV),Hongkong,1617
Utrecht (PV),India,2155
Utrecht (PV),Indonesië,31942
Utrecht (PV),Irak,4356
Utrecht (PV),Iran,3518
Utrecht (PV),Italië,3274
Utrecht (PV),Japan,411
Utrecht (PV),Kaapverdië,107
Utrecht (PV),Marokko,53859
Utrecht (PV),Oostenrijk,1205
Utrecht (PV),Pakistan,553
Utrecht (PV),Polen,6374
Utrecht (PV),Portugal,776
Utrecht (PV),Somalië,2859
Utrecht (PV),Spanje,3371
Utrecht (PV),Suriname,18842
Utrecht (PV),Turkije,27514
Utrecht (PV),Verenigd Koninkrijk,5911
Utrecht (PV),Verenigde Staten van Amerika,3454
Utrecht (PV),Vietnam,1702
Utrecht (PV),Zuid-Afrika,2000
Utrecht (PV),Overig Afrika,8477
Utrecht (PV),Overig Amerika,3751
Utrecht (PV),Overig Azië,8951
Utrecht (PV),Overig Europa,8171
Utrecht (PV),Overig Oceanië,521
Noord-Holland (PV),Afghanistan,8766
Noord-Holland (PV),Australië,4411
Noord-Holland (PV),België,12814
Noord-Holland (PV),Brazilië,7045
Noord-Holland (PV),Canada en overig Noord-Amerika,3872
Noord-Holland (PV),China,12579
Noord-Holland (PV),Colombia,4224
Noord-Holland (PV),Dominicaanse Republiek,3797
Noord-Holland (PV),Duitsland,52661
Noord-Holland (PV),Egypte,9408
Noord-Holland (PV),Ethiopië,4028
Noord-Holland (PV),Filippijnen,5815
Noord-Holland (PV),Frankrijk,12307
Noord-Holland (PV),Ghana,13834
Noord-Holland (PV),Griekenland,4118
Noord-Holland (PV),Hongarije,5009
Noord-Holland (PV),Hongkong,5100
Noord-Holland (PV),India,12391
Noord-Holland (PV),Indonesië,74536
Noord-Holland (PV),Irak,8616
Noord-Holland (PV),Iran,7796
Noord-Holland (PV),Italië,14473
Noord-Holland (PV),Japan,3957
Noord-Holland (PV),Kaapverdië,1278
Noord-Holland (PV),Marokko,106064
Noord-Holland (PV),Oostenrijk,3639
Noord-Holland (PV),Pakistan,7372
Noord-Holland (PV),Polen,23112
Noord-Holland (PV),Portugal,7041
Noord-Holland (PV),Somalië,5866
Noord-Holland (PV),Spanje,12272
Noord-Holland (PV),Suriname,99725
Noord-Holland (PV),Turkije,81878
Noord-Holland (PV),Verenigd Koninkrijk,25988
