Regio,Migratieachtergrond,value
Nederland,Afghanistan,46701
Nederland,Australië,16597
Nederland,België,117495
Nederland,Brazilië,24725
Nederland,Canada en overig Noord-Amerika,15997
Nederland,China,71229
Nederland,Colombia,16607
Nederland,Dominicaanse Republiek,14318
Nederland,Duitsland,356875
Nederland,Egypte,23956
Nederland,Ethiopië,19528
Nederland,Filippijnen,20937
Nederland,Frankrijk,43836
Nederland,Ghana,23430
Nederland,Griekenland,22141
Nederland,Hongarije,22870
Nederland,Hongkong,18357
Nederland,India,36818
Nederland,Indonesië,364328
Nederland,Irak,59497
Nederland,Iran,40893
Nederland,Italië,50925
Nederland,Japan,8198
Nederland,Kaapverdië,22285
Nederland,Marokko,391088
Nederland,Oostenrijk,15777
Nederland,Pakistan,22137
Nederland,Polen,161158
Nederland,Portugal,25637
Nederland,Somalië,39457
Nederland,Spanje,42926
Nederland,Suriname,349978
Nederland,Turkije,400367
Nederland,Verenigd Koninkrijk,86293
Nederland,Verenigde Staten van Amerika,40022
Nederland,Vietnam,22023
Nederland,Zuid-Afrika,20859
Nederland,Overig Afrika,117145
Nederland,Overig Amerika,54191
Nederland,Overig Azië,163728
Nederland,Overig Europa,121891
Nederland,Overig Oceanië,6062
Groningen (PV),Afghanistan,900
Groningen (PV),Australië,464
Groningen (PV),België,1154
Groningen (PV),Brazilië,670
Groningen (PV),Canada en overig Noord-Amerika,537
Groningen (PV),China,2488
Groningen (PV),Colombia,379
Groningen (PV),Dominicaanse Republiek,509
Groningen (PV),Duitsland,13698
Groningen (PV),Egypte,390
Groningen (PV),Ethiopië,463
Groningen (PV),Filippijnen,434
Groningen (PV),Frankrijk,856
Groningen (PV),Ghana,173
Groningen (PV),Griekenland,521
Groningen (PV),Hongarije,476
Groningen (PV),Hongkong,204
Groningen (PV),India,624
Groningen (PV),Indonesië,10024
Groningen (PV),Irak,1512
Groningen (PV),Iran,1450
Groningen (PV),Italië,1572
Groningen (PV),Japan,140
Groningen (PV),Kaapverdië,261
Groningen (PV),Marokko,1783
Groningen (PV),Oostenrijk,352
Groningen (PV),Pakistan,285
Groningen (PV),Polen,2215
Groningen (PV),Portugal,345
Groningen (PV),Somalië,1176
Groningen (PV),Spanje,875
Groningen (PV),Suriname,6252
Groningen (PV),Turkije,4708
Groningen (PV),Verenigd Koninkrijk,2335
Groningen (PV),Verenigde Staten van Amerika,1062
Groningen (PV),Vietnam,375
Groningen (PV),Zuid-Afrika,550
Groningen (PV),Overig Afrika,3990
Groningen (PV),Overig Amerika,1414
Groningen (PV),Overig Azië,5156
Groningen (PV),Overig Europa,3885
Groningen (PV),Overig Oceanië,153
Friesland (PV),Afghanistan,851
Friesland (PV),Australië,335
Friesland (PV),België,931
Friesland (PV),Brazilië,416
Friesland (PV),Canada en overig Noord-Amerika,689
Friesland (PV),China,1394
Friesland (PV),Colombia,252
Friesland (PV),Dominicaanse Republiek,205
Friesland (PV),Duitsland,9656
Friesland (PV),Egypte,389
Friesland (PV),Ethiopië,628
Friesland (PV),Filippijnen,503
Friesland (PV),Frankrijk,572
Friesland (PV),Ghana,121
Friesland (PV),Griekenland,315
Friesland (PV),Hongarije,478
Friesland (PV),Hongkong,143
Friesland (PV),India,480
Friesland (PV),Indonesië,7265
Friesland (PV),Irak,1969
Friesland (PV),Iran,666
Friesland (PV),Italië,626
Friesland (PV),Japan,64
Friesland (PV),Kaapverdië,82
Friesland (PV),Marokko,2229
Friesland (PV),Oostenrijk,326
Friesland (PV),Pakistan,192
Friesland (PV),Polen,1885
Friesland (PV),Portugal,182
Friesland (PV),Somalië,1036
Friesland (PV),Spanje,390
Friesland (PV),Suriname,3102
Friesland (PV),Turkije,1762
Friesland (PV),Verenigd Koninkrijk,1519
Friesland (PV),Verenigde Staten van Amerika,662
Friesland (PV),Vietnam,815
Friesland (PV),Zuid-Afrika,513
Friesland (PV),Overig Afrika,3399
Friesland (PV),Overig Amerika,888
Friesland (PV),Overig Azië,4548
Friesland (PV),Overig Europa,2392
Friesland (PV),Overig Oceanië,142
Drenthe (PV),Afghanistan,646
Drenthe (PV),Australië,325
Drenthe (PV),België,701
Drenthe (PV),Brazilië,379
Drenthe (PV),Canada en overig Noord-Amerika,239
Drenthe (PV),China,1047
Drenthe (PV),Colombia,164
Drenthe (PV),Dominicaanse Republiek,121
Drenthe (PV),Duitsland,8502
Drenthe (PV),Egypte,398
Drenthe (PV),Ethiopië,496
Drenthe (PV),Filippijnen,288
Drenthe (PV),Frankrijk,357
Drenthe (PV),Ghana,46
Drenthe (PV),Griekenland,160
Drenthe (PV),Hongarije,255
Drenthe (PV),Hongkong,106
Drenthe (PV),India,194
Drenthe (PV),Indonesië,7581
Drenthe (PV),Irak,1632
Drenthe (PV),Iran,731
Drenthe (PV),Italië,619
Drenthe (PV),Japan,28
Drenthe (PV),Kaapverdië,18
Drenthe (PV),Marokko,1541
Drenthe (PV),Oostenrijk,222
Drenthe (PV),Pakistan,150
Drenthe (PV),Polen,1615
Drenthe (PV),Portugal,122
Drenthe (PV),Somalië,835
Drenthe (PV),Spanje,256
Drenthe (PV),Suriname,1900
Drenthe (PV),Turkije,1817
Drenthe (PV),Verenigd Koninkrijk,1082
Drenthe (PV),Verenigde Staten van Amerika,411
Drenthe (PV),Vietnam,291
Drenthe (PV),Zuid-Afrika,402
Drenthe (PV),Overig Afrika,2247
Drenthe (PV),Overig Amerika,439
Drenthe (PV),Overig Azië,5095
Drenthe (PV),Overig Europa,1349
Drenthe (PV),Overig Oceanië,89
Overijssel (PV),Afghanistan,1796
Overijssel (PV),Australië,694
Overijssel (PV),België,1780
Overijssel (PV),Brazilië,1323
Overijssel (PV),Canada en overig Noord-Amerika,668
Overijssel (PV),China,3318
Overijssel (PV),Colombia,603
Overijssel (PV),Dominicaanse Republiek,453
Overijssel (PV),Duitsland,28435
Overijssel (PV),Egypte,442
Overijssel (PV),Ethiopië,690
Overijssel (PV),Filippijnen,745
Overijssel (PV),Frankrijk,1073
Overijssel (PV),Ghana,191
Overijssel (PV),Griekenland,480
Overijssel (PV),Hongarije,1190
Overijssel (PV),Hongkong,417
Overijssel (PV),India,764
Overijssel (PV),Indonesië,19089
Overijssel (PV),Irak,6479
Overijssel (PV),Iran,1801
Overijssel (PV),Italië,2748
Overijssel (PV),Japan,94
Overijssel (PV),Kaapverdië,40
Overijssel (PV),Marokko,4308
Overijssel (PV),Oostenrijk,732
Overijssel (PV),Pakistan,440
Overijssel (PV),Polen,5154
Overijssel (PV),Portugal,394
Overijssel (PV),Somalië,1297
Overijssel (PV),Spanje,1680
Overijssel (PV),Suriname,5513
Overijssel (PV),Turkije,34362
Overijssel (PV),Verenigd Koninkrijk,2382
Overijssel (PV),Verenigde Staten van Amerika,989
Overijssel (PV),Vietnam,980
Overijssel (PV),Zuid-Afrika,1057
Overijssel (PV),Overig Afrika,5139
Overijssel (PV),Overig Amerika,1694
Overijssel (PV),Overig Azië,13665
Overijssel (PV),Overig Europa,3976
Overijssel (PV),Overig Oceanië,281
Flevoland (PV),Afghanistan,1898
Flevoland (PV),Australië,379
Flevoland (PV),België,1343
Flevoland (PV),Brazilië,811
Flevoland (PV),Canada en overig Noord-Amerika,479
Flevoland (PV),China,1708
Flevoland (PV),Colombia,572
Flevoland (PV),Dominicaanse Republiek,570
Flevoland (PV),Duitsland,6120
Flevoland (PV),Egypte,956
Flevoland (PV),Ethiopië,490
Flevoland (PV),Filippijnen,1103
Flevoland (PV),Frankrijk,823
Flevoland (PV),Ghana,1514
Flevoland (PV),Griekenland,336
Flevoland (PV),Hongarije,651
Flevoland (PV),Hongkong,485
Flevoland (PV),India,1309
Flevoland (PV),Indonesië,9336
Flevoland (PV),Irak,2943
Flevoland (PV),Iran,2248
Flevoland (PV),Italië,986
Flevoland (PV),Japan,154
Flevoland (PV),Kaapverdië,142
Flevoland (PV),Marokko,11462
Flevoland (PV),Oostenrijk,310
Flevoland (PV),Pakistan,831
Flevoland (PV),Polen,5644
Flevoland (PV),Portugal,821
Flevoland (PV),Somalië,794
Flevoland (PV),Spanje,960
Flevoland (PV),Suriname,28038
Flevoland (PV),Turkije,6426
Flevoland (PV),Verenigd Koninkrijk,1742
Flevoland (PV),Verenigde Staten van Amerika,780
Flevoland (PV),Vietnam,1253
Flevoland (PV),Zuid-Afrika,732
Flevoland (PV),Overig Afrika,4431
Flevoland (PV),Overig Amerika,2101
Flevoland (PV),Overig Azië,5026
Flevoland (PV),Overig Europa,2533
Flevoland (PV),Overig Oceanië,148
Gelderland (PV),Afghanistan,5718
Gelderland (PV),Australië,1471
Gelderland (PV),België,5949
Gelderland (PV),Brazilië,1810
Gelderland (PV),Canada en overig Noord-Amerika,1548
Gelderland (PV),China,6146
Gelderland (PV),Colombia,1138
Gelderland (PV),Dominicaanse Republiek,863
Gelderland (PV),Duitsland,47523
Gelderland (PV),Egypte,1065
Gelderland (PV),Ethiopië,1442
Gelderland (PV),Filippijnen,1648
Gelderland (PV),Frankrijk,2866
Gelderland (PV),Ghana,607
Gelderland (PV),Griekenland,1439
Gelderland (PV),Hongarije,2012
Gelderland (PV),Hongkong,1250
Gelderland (PV),India,1369
Gelderland (PV),Indonesië,42814
Gelderland (PV),Irak,6688
Gelderland (PV),Iran,3690
Gelderland (PV),Italië,3806
Gelderland (PV),Japan,279
Gelderland (PV),Kaapverdië,83
Gelderland (PV),Marokko,21932
Gelderland (PV),Oostenrijk,1634
Gelderland (PV),Pakistan,597
Gelderland (PV),Polen,11214
Gelderland (PV),Portugal,958
Gelderland (PV),Somalië,3690
Gelderland (PV),Spanje,2725
Gelderland (PV),Suriname,11702
Gelderland (PV),Turkije,39657
Gelderland (PV),Verenigd Koninkrijk,5892
Gelderland (PV),Verenigde Staten van Amerika,2371
Gelderland (PV),Vietnam,2516
Gelderland (PV),Zuid-Afrika,1867
Gelderland (PV),Overig Afrika,9990
Gelderland (PV),Overig Amerika,3760
Gelderland (PV),Overig Azië,15855
Gelderland (PV),Overig Europa,8087
Gelderland (PV),Overig Oceanië,534
Utrecht (PV),Afghanistan,4011
Utrecht (PV),Australië,1471
Utrecht (PV),België,5324
Utrecht (PV),Brazilië,1632
Utrecht (PV),Canada en overig Noord-Amerika,1405
Utrecht (PV),China,5277
Utrecht (PV),Colombia,1158
Utrecht (PV),Dominicaanse Republiek,541
Utrecht (PV),Duitsland,19775
Utrecht (PV),Egypte,1305
Utrecht (PV),Ethiopië,1537
Utrecht (PV),Filippijnen,1201
Utrecht (PV),Frankrijk,3173
Utrecht (PV),Ghana,641
Utrecht (PV),Griekenland,2857
Utrecht (PV),Hongarije,1448
Utrecht (PV),Hongkong,1638
Utrecht (PV),India,2516
Utrecht (PV),Indonesië,31705
Utrecht (PV),Irak,4584
Utrecht (PV),Iran,3735
Utrecht (PV),Italië,3421
Utrecht (PV),Japan,439
Utrecht (PV),Kaapverdië,121
Utrecht (PV),Marokko,54642
Utrecht (PV),Oostenrijk,1212
Utrecht (PV),Pakistan,593
Utrecht (PV),Polen,6797
Utrecht (PV),Portugal,844
Utrecht (PV),Somalië,2944
Utrecht (PV),Spanje,3513
Utrecht (PV),Suriname,18932
Utrecht (PV),Turkije,27761
Utrecht (PV),Verenigd Koninkrijk,6117
Utrecht (PV),Verenigde Staten van Amerika,3659
Utrecht (PV),Vietnam,1765
Utrecht (PV),Zuid-Afrika,2066
Utrecht (PV),Overig Afrika,8920
Utrecht (PV),Overig Amerika,3935
Utrecht (PV),Overig Azië,11192
Utrecht (PV),Overig Europa,8581
Utrecht (PV),Overig Oceanië,540
Noord-Holland (PV),Afghanistan,9186
Noord-Holland (PV),Australië,4661
Noord-Holland (PV),België,13061
Noord-Holland (PV),Brazilië,7592
Noord-Holland (PV),Canada en overig Noord-Amerika,4010
Noord-Holland (PV),China,13250
Noord-Holland (PV),Colombia,4461
Noord-Holland (PV),Dominicaanse Republiek,3875
Noord-Holland (PV),Duitsland,52823
Noord-Holland (PV),Egypte,9660
Noord-Holland (PV),Ethiopië,4808
Noord-Holland (PV),Filippijnen,6062
Noord-Holland (PV),Frankrijk,13189
Noord-Holland (PV),Ghana,13981
Noord-Holland (PV),Griekenland,4419
Noord-Holland (PV),Hongarije,5144
Noord-Holland (PV),Hongkong,5130
Noord-Holland (PV),India,14114
Noord-Holland (PV),Indonesië,73950
Noord-Holland (PV),Irak,9015
Noord-Holland (PV),Iran,8249
Noord-Holland (PV),Italië,15550
Noord-Holland (PV),Japan,4181
Noord-Holland (PV),Kaapverdië,1300
Noord-Holland (PV),Marokko,107614
Noord-Holland (PV),Oostenrijk,3710
Noord-Holland (PV),Pakistan,7575
Noord-Holland (PV),Polen,24596
Noord-Holland (PV),Portugal,7193
Noord-Holland (PV),Somalië,5888
Noord-Holland (PV),Spanje,12673
Noord-Holland (PV),Suriname,99397
Noord-Holland (PV),Turkije,83035
Noord-Holland (PV),Verenigd Koninkrijk,26968
Noord-Holland (PV),Verenigde Staten van Amerika,14469
Noord-Holland (PV),Vietnam,4227
Noord-Holland (PV),Zuid-Afrika,5503
Noord-Holland (PV),Overig Afrika,23580
Noord-Holland (PV),Overig Amerika,16300
Noord-Holland (PV),Overig Azië,33518
Noord-Holland (PV),Overig Europa,33142
Noord-Holland (PV),Overig Oceanië,1776
Zuid-Holland (PV),Afghanistan,13113
Zuid-Holland (PV),Australië,3661
Zuid-Holland (PV),België,17454
Zuid-Holland (PV),Brazilië,6291
Zuid-Holland (PV),Canada en overig Noord-Amerika,3690
Zuid-Holland (PV),China,22979
Zuid-Holland (PV),Colombia,5787
Zuid-Holland (PV),Dominicaanse Republiek,5788
Zuid-Holland (PV),Duitsland,54730
Zuid-Holland (PV),Egypte,6230
Zuid-Holland (PV),Ethiopië,6068
Zuid-Holland (PV),Filippijnen,5643
Zuid-Holland (PV),Frankrijk,13028
Zuid-Holland (PV),Ghana,4621
Zuid-Holland (PV),Griekenland,7771
Zuid-Holland (PV),Hongarije,6060
Zuid-Holland (PV),Hongkong,6426
Zuid-Holland (PV),India,10070
Zuid-Holland (PV),Indonesië,88238
Zuid-Holland (PV),Irak,15727
Zuid-Holland (PV),Iran,12242
Zuid-Holland (PV),Italië,12715
Zuid-Holland (PV),Japan,1921
Zuid-Holland (PV),Kaapverdië,19958
Zuid-Holland (PV),Marokko,123328
Zuid-Holland (PV),Oostenrijk,3934
Zuid-Holland (PV),Pakistan,10097
Zuid-Holland (PV),Polen,49407
Zuid-Holland (PV),Portugal,10316
Zuid-Holland (PV),Somalië,11258
Zuid-Holland (PV),Spanje,12388
Zuid-Holland (PV),Suriname,150227
Zuid-Holland (PV),Turkije,134845
Zuid-Holland (PV),Verenigd Koninkrijk,23252
Zuid-Holland (PV),Verenigde Staten van Amerika,9717
Zuid-Holland (PV),Vietnam,4174
Zuid-Holland (PV),Zuid-Afrika,5084
Zuid-Holland (PV),Overig Afrika,32810
Zuid-Holland (PV),Overig Amerika,15739
Zuid-Holland (PV),Overig Azië,35455
Zuid-Holland (PV),Overig Europa,36207
Zuid-Holland (PV),Overig Oceanië,1322
Zeeland (PV),Afghanistan,377
Zeeland (PV),Australië,209
Zeeland (PV),België,18945
Zeeland (PV),Brazilië,307
Zeeland (PV),Canada en overig Noord-Amerika,298
Zeeland (PV),China,827
Zeeland (PV),Colombia,216
Zeeland (PV),Dominicaanse Republiek,135
Zeeland (PV),Duitsland,5394
Zeeland (PV),Egypte,270
Zeeland (PV),Ethiopië,348
Zeeland (PV),Filippijnen,393
Zeeland (PV),Frankrijk,984
Zeeland (PV),Ghana,65
Zeeland (PV),Griekenland,291
Zeeland (PV),Hongarije,433
Zeeland (PV),Hongkong,143
Zeeland (PV),India,243
Zeeland (PV),Indonesië,6031
Zeeland (PV),Irak,671
Zeeland (PV),Iran,338
Zeeland (PV),Italië,502
Zeeland (PV),Japan,29
Zeeland (PV),Kaapverdië,45
Zeeland (PV),Marokko,2318
Zeeland (PV),Oostenrijk,330
Zeeland (PV),Pakistan,134
Zeeland (PV),Polen,3689
Zeeland (PV),Portugal,900
Zeeland (PV),Somalië,625
Zeeland (PV),Spanje,446
Zeeland (PV),Suriname,2519
Zeeland (PV),Turkije,3147
Zeeland (PV),Verenigd Koninkrijk,1767
Zeeland (PV),Verenigde Staten van Amerika,418
Zeeland (PV),Vietnam,537
Zeeland (PV),Zuid-Afrika,401
Zeeland (PV),Overig Afrika,1995
Zeeland (PV),Overig Amerika,778
Zeeland (PV),Overig Azië,2823
Zeeland (PV),Overig Europa,1829
Zeeland (PV),Overig Oceanië,65
Noord-Brabant (PV),Afghanistan,5767
Noord-Brabant (PV),Australië,1997
Noord-Brabant (PV),België,32699
Noord-Brabant (PV),Brazilië,2572
Noord-Brabant (PV),Canada en overig Noord-Amerika,1792
Noord-Brabant (PV),China,9132
Noord-Brabant (PV),Colombia,1328
Noord-Brabant (PV),Dominicaanse Republiek,959
Noord-Brabant (PV),Duitsland,37687
Noord-Brabant (PV),Egypte,1955
Noord-Brabant (PV),Ethiopië,1848
Noord-Brabant (PV),Filippijnen,2057
Noord-Brabant (PV),Frankrijk,4891
Noord-Brabant (PV),Ghana,1158
Noord-Brabant (PV),Griekenland,2377
Noord-Brabant (PV),Hongarije,3004
Noord-Brabant (PV),Hongkong,1673
Noord-Brabant (PV),India,4324
Noord-Brabant (PV),Indonesië,48348
Noord-Brabant (PV),Irak,5484
Noord-Brabant (PV),Iran,3852
Noord-Brabant (PV),Italië,4249
Noord-Brabant (PV),Japan,543
Noord-Brabant (PV),Kaapverdië,189
Noord-Brabant (PV),Marokko,42940
Noord-Brabant (PV),Oostenrijk,1753
Noord-Brabant (PV),Pakistan,927
Noord-Brabant (PV),Polen,35669
Noord-Brabant (PV),Portugal,2750
Noord-Brabant (PV),Somalië,7953
Noord-Brabant (PV),Spanje,4907
Noord-Brabant (PV),Suriname,19223
Noord-Brabant (PV),Turkije,50668
Noord-Brabant (PV),Verenigd Koninkrijk,8822
Noord-Brabant (PV),Verenigde Staten van Amerika,3230
Noord-Brabant (PV),Vietnam,3810
Noord-Brabant (PV),Zuid-Afrika,2007
Noord-Brabant (PV),Overig Afrika,14541
Noord-Brabant (PV),Overig Amerika,5167
Noord-Brabant (PV),Overig Azië,20945
