Regio,Migratieachtergrond,value
Nederland,Afghanistan,4916
Nederland,Australië,10355
Nederland,België,111228
Nederland,Brazilië,6589
Nederland,Canada en overig Noord-Amerika,9540
Nederland,China,23471
Nederland,Colombia,4937
Nederland,Dominicaanse Republiek,5321
Nederland,Duitsland,411503
Nederland,Egypte,11598
Nederland,Ethiopië,7978
Nederland,Filippijnen,7738
Nederland,Frankrijk,26051
Nederland,Ghana,12480
Nederland,Griekenland,10065
Nederland,Hongarije,11454
Nederland,Hongkong,17147
Nederland,India,9476
Nederland,Indonesië,411622
Nederland,Irak,11278
Nederland,Iran,16478
Nederland,Italië,31484
Nederland,Japan,6355
Nederland,Kaapverdië,16662
Nederland,Marokko,225088
Nederland,Oostenrijk,15151
Nederland,Pakistan,14127
Nederland,Polen,25125
Nederland,Portugal,12957
Nederland,Somalië,20060
Nederland,Spanje,28421
Nederland,Suriname,280615
Nederland,Turkije,271514
Nederland,Verenigd Koninkrijk,65663
Nederland,Verenigde Staten van Amerika,22730
Nederland,Vietnam,12937
Nederland,Zuid-Afrika,9629
Nederland,Overig Afrika,34760
Nederland,Overig Amerika,22121
Nederland,Overig Azië,37369
Nederland,Overig Europa,44578
Nederland,Overig Oceanië,3614
Groningen (PV),Afghanistan,84
Groningen (PV),Australië,257
Groningen (PV),België,829
Groningen (PV),Brazilië,161
Groningen (PV),Canada en overig Noord-Amerika,276
Groningen (PV),China,773
Groningen (PV),Colombia,82
Groningen (PV),Dominicaanse Republiek,202
Groningen (PV),Duitsland,12977
Groningen (PV),Egypte,165
Groningen (PV),Ethiopië,181
Groningen (PV),Filippijnen,148
Groningen (PV),Frankrijk,474
Groningen (PV),Ghana,66
Groningen (PV),Griekenland,167
Groningen (PV),Hongarije,224
Groningen (PV),Hongkong,252
Groningen (PV),India,126
Groningen (PV),Indonesië,11183
Groningen (PV),Irak,529
Groningen (PV),Iran,671
Groningen (PV),Italië,828
Groningen (PV),Japan,48
Groningen (PV),Kaapverdië,194
Groningen (PV),Marokko,954
Groningen (PV),Oostenrijk,276
Groningen (PV),Pakistan,175
Groningen (PV),Polen,757
Groningen (PV),Portugal,122
Groningen (PV),Somalië,888
Groningen (PV),Spanje,259
Groningen (PV),Suriname,5738
Groningen (PV),Turkije,3680
Groningen (PV),Verenigd Koninkrijk,1453
Groningen (PV),Verenigde Staten van Amerika,538
Groningen (PV),Vietnam,250
Groningen (PV),Zuid-Afrika,214
Groningen (PV),Overig Afrika,1011
Groningen (PV),Overig Amerika,472
Groningen (PV),Overig Azië,1079
Groningen (PV),Overig Europa,1375
Groningen (PV),Overig Oceanië,68
Friesland (PV),Afghanistan,117
Friesland (PV),Australië,219
Friesland (PV),België,623
Friesland (PV),Brazilië,99
Friesland (PV),Canada en overig Noord-Amerika,598
Friesland (PV),China,627
Friesland (PV),Colombia,59
Friesland (PV),Dominicaanse Republiek,41
Friesland (PV),Duitsland,9734
Friesland (PV),Egypte,175
Friesland (PV),Ethiopië,154
Friesland (PV),Filippijnen,177
Friesland (PV),Frankrijk,417
Friesland (PV),Ghana,69
Friesland (PV),Griekenland,105
Friesland (PV),Hongarije,204
Friesland (PV),Hongkong,178
Friesland (PV),India,154
Friesland (PV),Indonesië,7768
Friesland (PV),Irak,510
Friesland (PV),Iran,360
Friesland (PV),Italië,470
Friesland (PV),Japan,20
Friesland (PV),Kaapverdië,76
Friesland (PV),Marokko,1855
Friesland (PV),Oostenrijk,274
Friesland (PV),Pakistan,148
Friesland (PV),Polen,575
Friesland (PV),Portugal,78
Friesland (PV),Somalië,1195
Friesland (PV),Spanje,168
Friesland (PV),Suriname,2774
Friesland (PV),Turkije,1146
Friesland (PV),Verenigd Koninkrijk,1122
Friesland (PV),Verenigde Staten van Amerika,463
Friesland (PV),Vietnam,739
Friesland (PV),Zuid-Afrika,218
Friesland (PV),Overig Afrika,832
Friesland (PV),Overig Amerika,391
Friesland (PV),Overig Azië,959
Friesland (PV),Overig Europa,876
Friesland (PV),Overig Oceanië,80
Drenthe (PV),Afghanistan,111
Drenthe (PV),Australië,227
Drenthe (PV),België,514
Drenthe (PV),Brazilië,78
Drenthe (PV),Canada en overig Noord-Amerika,274
Drenthe (PV),China,549
Drenthe (PV),Colombia,49
Drenthe (PV),Dominicaanse Republiek,32
Drenthe (PV),Duitsland,9177
Drenthe (PV),Egypte,158
Drenthe (PV),Ethiopië,133
Drenthe (PV),Filippijnen,89
Drenthe (PV),Frankrijk,219
Drenthe (PV),Ghana,25
Drenthe (PV),Griekenland,96
Drenthe (PV),Hongarije,108
Drenthe (PV),Hongkong,178
Drenthe (PV),India,54
Drenthe (PV),Indonesië,8250
Drenthe (PV),Irak,292
Drenthe (PV),Iran,311
Drenthe (PV),Italië,442
Drenthe (PV),Japan,21
Drenthe (PV),Kaapverdië,9
Drenthe (PV),Marokko,962
Drenthe (PV),Oostenrijk,197
Drenthe (PV),Pakistan,123
Drenthe (PV),Polen,497
Drenthe (PV),Portugal,49
Drenthe (PV),Somalië,699
Drenthe (PV),Spanje,186
Drenthe (PV),Suriname,1511
Drenthe (PV),Turkije,1205
Drenthe (PV),Verenigd Koninkrijk,934
Drenthe (PV),Verenigde Staten van Amerika,272
Drenthe (PV),Vietnam,384
Drenthe (PV),Zuid-Afrika,175
Drenthe (PV),Overig Afrika,516
Drenthe (PV),Overig Amerika,211
Drenthe (PV),Overig Azië,779
Drenthe (PV),Overig Europa,672
Drenthe (PV),Overig Oceanië,73
Overijssel (PV),Afghanistan,297
Overijssel (PV),Australië,498
Overijssel (PV),België,1318
Overijssel (PV),Brazilië,246
Overijssel (PV),Canada en overig Noord-Amerika,458
Overijssel (PV),China,1430
Overijssel (PV),Colombia,146
Overijssel (PV),Dominicaanse Republiek,102
Overijssel (PV),Duitsland,34229
Overijssel (PV),Egypte,200
Overijssel (PV),Ethiopië,326
Overijssel (PV),Filippijnen,299
Overijssel (PV),Frankrijk,722
Overijssel (PV),Ghana,97
Overijssel (PV),Griekenland,187
Overijssel (PV),Hongarije,815
Overijssel (PV),Hongkong,524
Overijssel (PV),India,190
Overijssel (PV),Indonesië,21770
Overijssel (PV),Irak,1065
Overijssel (PV),Iran,925
Overijssel (PV),Italië,2645
Overijssel (PV),Japan,45
Overijssel (PV),Kaapverdië,12
Overijssel (PV),Marokko,3206
Overijssel (PV),Oostenrijk,648
Overijssel (PV),Pakistan,200
Overijssel (PV),Polen,1267
Overijssel (PV),Portugal,140
Overijssel (PV),Somalië,665
Overijssel (PV),Spanje,1475
Overijssel (PV),Suriname,4516
Overijssel (PV),Turkije,27844
Overijssel (PV),Verenigd Koninkrijk,1841
Overijssel (PV),Verenigde Staten van Amerika,680
Overijssel (PV),Vietnam,725
Overijssel (PV),Zuid-Afrika,484
Overijssel (PV),Overig Afrika,1467
Overijssel (PV),Overig Amerika,720
Overijssel (PV),Overig Azië,3049
Overijssel (PV),Overig Europa,1672
Overijssel (PV),Overig Oceanië,199
Flevoland (PV),Afghanistan,93
Flevoland (PV),Australië,241
Flevoland (PV),België,892
Flevoland (PV),Brazilië,187
Flevoland (PV),Canada en overig Noord-Amerika,252
Flevoland (PV),China,333
Flevoland (PV),Colombia,100
Flevoland (PV),Dominicaanse Republiek,98
Flevoland (PV),Duitsland,5184
Flevoland (PV),Egypte,340
Flevoland (PV),Ethiopië,96
Flevoland (PV),Filippijnen,363
Flevoland (PV),Frankrijk,428
Flevoland (PV),Ghana,313
Flevoland (PV),Griekenland,125
Flevoland (PV),Hongarije,152
Flevoland (PV),Hongkong,339
Flevoland (PV),India,171
Flevoland (PV),Indonesië,7516
Flevoland (PV),Irak,350
Flevoland (PV),Iran,530
Flevoland (PV),Italië,583
Flevoland (PV),Japan,93
Flevoland (PV),Kaapverdië,30
Flevoland (PV),Marokko,4171
Flevoland (PV),Oostenrijk,254
Flevoland (PV),Pakistan,256
Flevoland (PV),Polen,471
Flevoland (PV),Portugal,193
Flevoland (PV),Somalië,281
Flevoland (PV),Spanje,416
Flevoland (PV),Suriname,9350
Flevoland (PV),Turkije,1999
Flevoland (PV),Verenigd Koninkrijk,1193
Flevoland (PV),Verenigde Staten van Amerika,413
Flevoland (PV),Vietnam,539
Flevoland (PV),Zuid-Afrika,368
Flevoland (PV),Overig Afrika,754
Flevoland (PV),Overig Amerika,569
Flevoland (PV),Overig Azië,770
Flevoland (PV),Overig Europa,916
Flevoland (PV),Overig Oceanië,85
Gelderland (PV),Afghanistan,526
Gelderland (PV),Australië,1053
Gelderland (PV),België,4947
Gelderland (PV),Brazilië,623
Gelderland (PV),Canada en overig Noord-Amerika,977
Gelderland (PV),China,2425
Gelderland (PV),Colombia,317
Gelderland (PV),Dominicaanse Republiek,315
Gelderland (PV),Duitsland,55884
Gelderland (PV),Egypte,559
Gelderland (PV),Ethiopië,647
Gelderland (PV),Filippijnen,672
Gelderland (PV),Frankrijk,1828
Gelderland (PV),Ghana,312
Gelderland (PV),Griekenland,747
Gelderland (PV),Hongarije,1105
Gelderland (PV),Hongkong,1444
Gelderland (PV),India,367
Gelderland (PV),Indonesië,48901
Gelderland (PV),Irak,1182
Gelderland (PV),Iran,1528
Gelderland (PV),Italië,2813
Gelderland (PV),Japan,143
Gelderland (PV),Kaapverdië,37
Gelderland (PV),Marokko,13685
Gelderland (PV),Oostenrijk,1405
Gelderland (PV),Pakistan,268
Gelderland (PV),Polen,2104
Gelderland (PV),Portugal,306
Gelderland (PV),Somalië,2231
Gelderland (PV),Spanje,1943
Gelderland (PV),Suriname,10071
Gelderland (PV),Turkije,28639
Gelderland (PV),Verenigd Koninkrijk,4418
Gelderland (PV),Verenigde Staten van Amerika,1578
Gelderland (PV),Vietnam,1542
Gelderland (PV),Zuid-Afrika,910
Gelderland (PV),Overig Afrika,2963
Gelderland (PV),Overig Amerika,1541
Gelderland (PV),Overig Azië,3072
Gelderland (PV),Overig Europa,3613
Gelderland (PV),Overig Oceanië,357
Utrecht (PV),Afghanistan,317
Utrecht (PV),Australië,759
Utrecht (PV),België,3866
Utrecht (PV),Brazilië,373
Utrecht (PV),Canada en overig Noord-Amerika,684
Utrecht (PV),China,1506
Utrecht (PV),Colombia,257
Utrecht (PV),Dominicaanse Republiek,164
Utrecht (PV),Duitsland,19631
Utrecht (PV),Egypte,569
Utrecht (PV),Ethiopië,602
Utrecht (PV),Filippijnen,363
Utrecht (PV),Frankrijk,1762
Utrecht (PV),Ghana,314
Utrecht (PV),Griekenland,1954
Utrecht (PV),Hongarije,916
Utrecht (PV),Hongkong,1309
Utrecht (PV),India,508
Utrecht (PV),Indonesië,35000
Utrecht (PV),Irak,983
Utrecht (PV),Iran,1310
Utrecht (PV),Italië,1967
Utrecht (PV),Japan,220
Utrecht (PV),Kaapverdië,33
Utrecht (PV),Marokko,29934
Utrecht (PV),Oostenrijk,1062
Utrecht (PV),Pakistan,289
Utrecht (PV),Polen,1638
Utrecht (PV),Portugal,258
Utrecht (PV),Somalië,1493
Utrecht (PV),Spanje,1983
Utrecht (PV),Suriname,15673
Utrecht (PV),Turkije,17912
Utrecht (PV),Verenigd Koninkrijk,4021
Utrecht (PV),Verenigde Staten van Amerika,2039
Utrecht (PV),Vietnam,927
Utrecht (PV),Zuid-Afrika,784
Utrecht (PV),Overig Afrika,2231
Utrecht (PV),Overig Amerika,1457
Utrecht (PV),Overig Azië,2300
Utrecht (PV),Overig Europa,3321
Utrecht (PV),Overig Oceanië,285
Noord-Holland (PV),Afghanistan,1009
Noord-Holland (PV),Australië,2549
Noord-Holland (PV),België,10352
Noord-Holland (PV),Brazilië,2029
Noord-Holland (PV),Canada en overig Noord-Amerika,2072
Noord-Holland (PV),China,4352
Noord-Holland (PV),Colombia,1330
Noord-Holland (PV),Dominicaanse Republiek,1968
Noord-Holland (PV),Duitsland,56530
Noord-Holland (PV),Egypte,4906
Noord-Holland (PV),Ethiopië,2216
Noord-Holland (PV),Filippijnen,2588
Noord-Holland (PV),Frankrijk,6518
Noord-Holland (PV),Ghana,7560
Noord-Holland (PV),Griekenland,1580
Noord-Holland (PV),Hongarije,2719
Noord-Holland (PV),Hongkong,4775
Noord-Holland (PV),India,3267
Noord-Holland (PV),Indonesië,80027
Noord-Holland (PV),Irak,2228
Noord-Holland (PV),Iran,3305
Noord-Holland (PV),Italië,8204
Noord-Holland (PV),Japan,3725
Noord-Holland (PV),Kaapverdië,1072
Noord-Holland (PV),Marokko,62267
Noord-Holland (PV),Oostenrijk,3427
Noord-Holland (PV),Pakistan,5218
Noord-Holland (PV),Polen,4218
Noord-Holland (PV),Portugal,5475
Noord-Holland (PV),Somalië,2873
Noord-Holland (PV),Spanje,7873
Noord-Holland (PV),Suriname,90210
Noord-Holland (PV),Turkije,56635
Noord-Holland (PV),Verenigd Koninkrijk,18204
Noord-Holland (PV),Verenigde Staten van Amerika,7493
Noord-Holland (PV),Vietnam,2458
Noord-Holland (PV),Zuid-Afrika,2493
Noord-Holland (PV),Overig Afrika,8032
Noord-Holland (PV),Overig Amerika,7364
Noord-Holland (PV),Overig Azië,9806
Noord-Holland (PV),Overig Europa,12225
Noord-Holland (PV),Overig Oceanië,882
Zuid-Holland (PV),Afghanistan,1175
Zuid-Holland (PV),Australië,2400
Zuid-Holland (PV),België,16061
Zuid-Holland (PV),Brazilië,1641
Zuid-Holland (PV),Canada en overig Noord-Amerika,2114
Zuid-Holland (PV),China,6659
Zuid-Holland (PV),Colombia,2073
Zuid-Holland (PV),Dominicaanse Republiek,1910
Zuid-Holland (PV),Duitsland,60803
Zuid-Holland (PV),Egypte,3256
Zuid-Holland (PV),Ethiopië,2677
Zuid-Holland (PV),Filippijnen,1922
Zuid-Holland (PV),Frankrijk,8204
Zuid-Holland (PV),Ghana,2974
Zuid-Holland (PV),Griekenland,3264
Zuid-Holland (PV),Hongarije,2774
Zuid-Holland (PV),Hongkong,5473
Zuid-Holland (PV),India,3723
Zuid-Holland (PV),Indonesië,106231
Zuid-Holland (PV),Irak,2380
Zuid-Holland (PV),Iran,4932
Zuid-Holland (PV),Italië,7412
Zuid-Holland (PV),Japan,1308
Zuid-Holland (PV),Kaapverdië,15089
Zuid-Holland (PV),Marokko,68483
Zuid-Holland (PV),Oostenrijk,4167
Zuid-Holland (PV),Pakistan,6631
Zuid-Holland (PV),Polen,5176
Zuid-Holland (PV),Portugal,5387
Zuid-Holland (PV),Somalië,4895
Zuid-Holland (PV),Spanje,8783
Zuid-Holland (PV),Suriname,119704
Zuid-Holland (PV),Turkije,86398
Zuid-Holland (PV),Verenigd Koninkrijk,20523
Zuid-Holland (PV),Verenigde Staten van Amerika,5818
Zuid-Holland (PV),Vietnam,2043
Zuid-Holland (PV),Zuid-Afrika,2574
Zuid-Holland (PV),Overig Afrika,10368
Zuid-Holland (PV),Overig Amerika,6638
Zuid-Holland (PV),Overig Azië,8739
Zuid-Holland (PV),Overig Europa,12714
Zuid-Holland (PV),Overig Oceanië,850
Zeeland (PV),Afghanistan,94
Zeeland (PV),Australië,174
Zeeland (PV),België,16315
Zeeland (PV),Brazilië,116
Zeeland (PV),Canada en overig Noord-Amerika,241
Zeeland (PV),China,463
Zeeland (PV),Colombia,52
Zeeland (PV),Dominicaanse Republiek,40
Zeeland (PV),Duitsland,5047
Zeeland (PV),Egypte,162
Zeeland (PV),Ethiopië,108
Zeeland (PV),Filippijnen,127
Zeeland (PV),Frankrijk,955
Zeeland (PV),Ghana,58
Zeeland (PV),Griekenland,177
Zeeland (PV),Hongarije,134
Zeeland (PV),Hongkong,205
Zeeland (PV),India,85
Zeeland (PV),Indonesië,6612
Zeeland (PV),Irak,313
Zeeland (PV),Iran,158
Zeeland (PV),Italië,380
Zeeland (PV),Japan,11
Zeeland (PV),Kaapverdië,21
Zeeland (PV),Marokko,1665
Zeeland (PV),Oostenrijk,326
Zeeland (PV),Pakistan,76
Zeeland (PV),Polen,641
Zeeland (PV),Portugal,115
Zeeland (PV),Somalië,401
Zeeland (PV),Spanje,226
Zeeland (PV),Suriname,2260
Zeeland (PV),Turkije,2422
Zeeland (PV),Verenigd Koninkrijk,1563
Zeeland (PV),Verenigde Staten van Amerika,308
Zeeland (PV),Vietnam,277
Zeeland (PV),Zuid-Afrika,205
Zeeland (PV),Overig Afrika,642
Zeeland (PV),Overig Amerika,293
Zeeland (PV),Overig Azië,697
Zeeland (PV),Overig Europa,742
Zeeland (PV),Overig Oceanië,37
Noord-Brabant (PV),Afghanistan,715
Noord-Brabant (PV),Australië,1375
Noord-Brabant (PV),België,34141
Noord-Brabant (PV),Brazilië,785
Noord-Brabant (PV),Canada en overig Noord-Amerika,1254
Noord-Brabant (PV),China,3039
Noord-Brabant (PV),Colombia,313
Noord-Brabant (PV),Dominicaanse Republiek,339
Noord-Brabant (PV),Duitsland,41146
Noord-Brabant (PV),Egypte,720
Noord-Brabant (PV),Ethiopië,578
Noord-Brabant (PV),Filippijnen,676
Noord-Brabant (PV),Frankrijk,2968
Noord-Brabant (PV),Ghana,519
Noord-Brabant (PV),Griekenland,1016
Noord-Brabant (PV),Hongarije,1205
Noord-Brabant (PV),Hongkong,1821
Noord-Brabant (PV),India,596
Noord-Brabant (PV),Indonesië,54495
Noord-Brabant (PV),Irak,952
Noord-Brabant (PV),Iran,1444
Noord-Brabant (PV),Italië,2335
Noord-Brabant (PV),Japan,444
Noord-Brabant (PV),Kaapverdië,72
Noord-Brabant (PV),Marokko,25473
Noord-Brabant (PV),Oostenrijk,1730
Noord-Brabant (PV),Pakistan,567
Noord-Brabant (PV),Polen,3544
Noord-Brabant (PV),Portugal,609
Noord-Brabant (PV),Somalië,3484
Noord-Brabant (PV),Spanje,3586
Noord-Brabant (PV),Suriname,16022
Noord-Brabant (PV),Turkije,35256
Noord-Brabant (PV),Verenigd Koninkrijk,7218
Noord-Brabant (PV),Verenigde Staten van Amerika,1899
Noord-Brabant (PV),Vietnam,2250
Noord-Brabant (PV),Zuid-Afrika,888
Noord-Brabant (PV),Overig Afrika,3715
Noord-Brabant (PV),Overig Amerika,1876
Noord-Brabant (PV),Overig Azië,4122
Noord-Brabant (PV),Overig Europa,4134
Noord-Brabant (PV),Overig Oceanië,502
Limburg (PV),Afghanistan,378
Limburg (PV),Australië,603
Limburg (PV),België,21370
Limburg (PV),Brazilië,251
Limburg (PV),Canada en overig Noord-Amerika,340
Limburg (PV),China,1315
Limburg (PV),Colombia,159
Limburg (PV),Dominicaanse Republiek,110
Limburg (PV),Duitsland,101161
Limburg (PV),Egypte,388
Limburg (PV),Ethiopië,260
Limburg (PV),Filippijnen,314
Limburg (PV),Frankrijk,1556
Limburg (PV),Ghana,173
Limburg (PV),Griekenland,647
Limburg (PV),Hongarije,1098
Limburg (PV),Hongkong,649
Limburg (PV),India,235
Limburg (PV),Indonesië,23869
Limburg (PV),Irak,494
Limburg (PV),Iran,1004
Limburg (PV),Italië,3405
Limburg (PV),Japan,277
Limburg (PV),Kaapverdië,17
Limburg (PV),Marokko,12433
Limburg (PV),Oostenrijk,1385
Limburg (PV),Pakistan,176
Limburg (PV),Polen,4237
Limburg (PV),Portugal,225
Limburg (PV),Somalië,955
Limburg (PV),Spanje,1523
Limburg (PV),Suriname,2786
Limburg (PV),Turkije,8378
Limburg (PV),Verenigd Koninkrijk,3173
Limburg (PV),Verenigde Staten van Amerika,1229
Limburg (PV),Vietnam,803
Limburg (PV),Zuid-Afrika,316
Limburg (PV),Overig Afrika,2229
Limburg (PV),Overig Amerika,589
Limburg (PV),Overig Azië,1997
Limburg (PV),Overig Europa,2318
Limburg (PV),Overig Oceanië,196
