Regio,Migratieachtergrond,value
Nederland,Afghanistan,7724
Nederland,Australië,10663
Nederland,België,111086
Nederland,Brazilië,7109
Nederland,Canada en overig Noord-Amerika,9963
Nederland,China,24674
Nederland,Colombia,5459
Nederland,Dominicaanse Republiek,5739
Nederland,Duitsland,408305
Nederland,Egypte,12101
Nederland,Ethiopië,8264
Nederland,Filippijnen,8301
Nederland,Frankrijk,26681§
Nederland,Ghana,13079
Nederland,Griekenland,10176
Nederland,Hongarije,11584
Nederland,Hongkong,17236
Nederland,India,9759
Nederland,Indonesië,409609
Nederland,Irak,15863
Nederland,Iran,19163
Nederland,Italië,31864
Nederland,Japan,6396
Nederland,Kaapverdië,17017
Nederland,Marokko,232841
Nederland,Oostenrijk,15214
Nederland,Pakistan,14663
Nederland,Polen,26248
Nederland,Portugal,13036
Nederland,Somalië,23864
Nederland,Spanje,28699
Nederland,Suriname,285524
Nederland,Turkije,279708
Nederland,Verenigd Koninkrijk,65631
Nederland,Verenigde Staten van Amerika,23506
Nederland,Vietnam,13363
Nederland,Zuid-Afrika,10118
Nederland,Overig Afrika,37915
Nederland,Overig Amerika,23073
Nederland,Overig Azië,39862
Nederland,Overig Europa,45839
Nederland,Overig Oceanië,3707
Groningen (PV),Afghanistan,192
Groningen (PV),Australië,273
Groningen (PV),België,827
Groningen (PV),Brazilië,184
Groningen (PV),Canada en overig Noord-Amerika,290
Groningen (PV),China,843
Groningen (PV),Colombia,103
Groningen (PV),Dominicaanse Republiek,233
Groningen (PV),Duitsland,12889
Groningen (PV),Egypte,181
Groningen (PV),Ethiopië,185
Groningen (PV),Filippijnen,162
Groningen (PV),Frankrijk,485
Groningen (PV),Ghana,74
Groningen (PV),Griekenland,174
Groningen (PV),Hongarije,234
Groningen (PV),Hongkong,252
Groningen (PV),India,136
Groningen (PV),Indonesië,11078
Groningen (PV),Irak,617
Groningen (PV),Iran,765
Groningen (PV),Italië,872
Groningen (PV),Japan,56
Groningen (PV),Kaapverdië,209
Groningen (PV),Marokko,1000
Groningen (PV),Oostenrijk,283
Groningen (PV),Pakistan,172
Groningen (PV),Polen,786
Groningen (PV),Portugal,124
Groningen (PV),Somalië,863
Groningen (PV),Spanje,275
Groningen (PV),Suriname,5792
Groningen (PV),Turkije,3750
Groningen (PV),Verenigd Koninkrijk,1529
Groningen (PV),Verenigde Staten van Amerika,569
Groningen (PV),Vietnam,238
Groningen (PV),Zuid-Afrika,234
Groningen (PV),Overig Afrika,1106
Groningen (PV),Overig Amerika,529
Groningen (PV),Overig Azië,1103
Groningen (PV),Overig Europa,1401
Groningen (PV),Overig Oceanië,68
Friesland (PV),Afghanistan,340
Friesland (PV),Australië,229
Friesland (PV),België,652
Friesland (PV),Brazilië,115
Friesland (PV),Canada en overig Noord-Amerika,625
Friesland (PV),China,649
Friesland (PV),Colombia,57
Friesland (PV),Dominicaanse Republiek,69
Friesland (PV),Duitsland,9714
Friesland (PV),Egypte,204
Friesland (PV),Ethiopië,134
Friesland (PV),Filippijnen,180
Friesland (PV),Frankrijk,436
Friesland (PV),Ghana,73
Friesland (PV),Griekenland,115
Friesland (PV),Hongarije,212
Friesland (PV),Hongkong,178
Friesland (PV),India,159
Friesland (PV),Indonesië,7739
Friesland (PV),Irak,956
Friesland (PV),Iran,514
Friesland (PV),Italië,488
Friesland (PV),Japan,24
Friesland (PV),Kaapverdië,95
Friesland (PV),Marokko,1949
Friesland (PV),Oostenrijk,275
Friesland (PV),Pakistan,154
Friesland (PV),Polen,644
Friesland (PV),Portugal,84
Friesland (PV),Somalië,1274
Friesland (PV),Spanje,184
Friesland (PV),Suriname,2768
Friesland (PV),Turkije,1205
Friesland (PV),Verenigd Koninkrijk,1155
Friesland (PV),Verenigde Staten van Amerika,487
Friesland (PV),Vietnam,701
Friesland (PV),Zuid-Afrika,225
Friesland (PV),Overig Afrika,989
Friesland (PV),Overig Amerika,420
Friesland (PV),Overig Azië,1028
Friesland (PV),Overig Europa,939
Friesland (PV),Overig Oceanië,84
Drenthe (PV),Afghanistan,225
Drenthe (PV),Australië,239
Drenthe (PV),België,542
Drenthe (PV),Brazilië,98
Drenthe (PV),Canada en overig Noord-Amerika,295
Drenthe (PV),China,574
Drenthe (PV),Colombia,53
Drenthe (PV),Dominicaanse Republiek,36
Drenthe (PV),Duitsland,9199
Drenthe (PV),Egypte,194
Drenthe (PV),Ethiopië,141
Drenthe (PV),Filippijnen,108
Drenthe (PV),Frankrijk,232
Drenthe (PV),Ghana,27
Drenthe (PV),Griekenland,97
Drenthe (PV),Hongarije,114
Drenthe (PV),Hongkong,173
Drenthe (PV),India,58
Drenthe (PV),Indonesië,8252
Drenthe (PV),Irak,552
Drenthe (PV),Iran,419
Drenthe (PV),Italië,469
Drenthe (PV),Japan,18
Drenthe (PV),Kaapverdië,11
Drenthe (PV),Marokko,1030
Drenthe (PV),Oostenrijk,202
Drenthe (PV),Pakistan,128
Drenthe (PV),Polen,550
Drenthe (PV),Portugal,49
Drenthe (PV),Somalië,691
Drenthe (PV),Spanje,186
Drenthe (PV),Suriname,1554
Drenthe (PV),Turkije,1257
Drenthe (PV),Verenigd Koninkrijk,982
Drenthe (PV),Verenigde Staten van Amerika,304
Drenthe (PV),Vietnam,372
Drenthe (PV),Zuid-Afrika,174
Drenthe (PV),Overig Afrika,625
Drenthe (PV),Overig Amerika,208
Drenthe (PV),Overig Azië,796
Drenthe (PV),Overig Europa,703
Drenthe (PV),Overig Oceanië,81
Overijssel (PV),Afghanistan,496
Overijssel (PV),Australië,514
Overijssel (PV),België,1334
Overijssel (PV),Brazilië,294
Overijssel (PV),Canada en overig Noord-Amerika,487
Overijssel (PV),China,1501
Overijssel (PV),Colombia,165
Overijssel (PV),Dominicaanse Republiek,110
Overijssel (PV),Duitsland,33992
Overijssel (PV),Egypte,214
Overijssel (PV),Ethiopië,327
Overijssel (PV),Filippijnen,322
Overijssel (PV),Frankrijk,731
Overijssel (PV),Ghana,106
Overijssel (PV),Griekenland,200
Overijssel (PV),Hongarije,817
Overijssel (PV),Hongkong,532
Overijssel (PV),India,208
Overijssel (PV),Indonesië,21545
Overijssel (PV),Irak,1677
Overijssel (PV),Iran,1077
Overijssel (PV),Italië,2573
Overijssel (PV),Japan,48
Overijssel (PV),Kaapverdië,14
Overijssel (PV),Marokko,3251
Overijssel (PV),Oostenrijk,646
Overijssel (PV),Pakistan,208
Overijssel (PV),Polen,1326
Overijssel (PV),Portugal,154
Overijssel (PV),Somalië,753
Overijssel (PV),Spanje,1483
Overijssel (PV),Suriname,4520
Overijssel (PV),Turkije,28551
Overijssel (PV),Verenigd Koninkrijk,1890
Overijssel (PV),Verenigde Staten van Amerika,684
Overijssel (PV),Vietnam,739
Overijssel (PV),Zuid-Afrika,525
Overijssel (PV),Overig Afrika,1533
Overijssel (PV),Overig Amerika,757
Overijssel (PV),Overig Azië,3421
Overijssel (PV),Overig Europa,1726
Overijssel (PV),Overig Oceanië,212
Flevoland (PV),Afghanistan,154
Flevoland (PV),Australië,264
Flevoland (PV),België,925
Flevoland (PV),Brazilië,216
Flevoland (PV),Canada en overig Noord-Amerika,272
Flevoland (PV),China,376
Flevoland (PV),Colombia,131
