Regio,Migratieachtergrond,value
Nederland,Afghanistan,41473
Nederland,Australië,15174
Nederland,België,114022
Nederland,Brazilië,19102
Nederland,Canada en overig Noord-Amerika,14495
Nederland,China,59097
Nederland,Colombia,13537
Nederland,Dominicaanse Republiek,12633
Nederland,Duitsland,376606
Nederland,Egypte,21373
Nederland,Ethiopië,11970
Nederland,Filippijnen,17259
Nederland,Frankrijk,38636
Nederland,Ghana,21922
Nederland,Griekenland,16508
Nederland,Hongarije,18060
Nederland,Hongkong,18197
Nederland,India,23420
Nederland,Indonesië,377618
Nederland,Irak,53336
Nederland,Iran,34226
Nederland,Italië,41376
Nederland,Japan,7301
Nederland,Kaapverdië,21494
Nederland,Marokko,362954
Nederland,Oostenrijk,15704
Nederland,Pakistan,19888
Nederland,Polen,100775
Nederland,Portugal,21940
Nederland,Somalië,33750
Nederland,Spanje,35600
Nederland,Suriname,346797
Nederland,Turkije,392923
Nederland,Verenigd Koninkrijk,80010
Nederland,Verenigde Staten van Amerika,34588
Nederland,Vietnam,19944
Nederland,Zuid-Afrika,17896
Nederland,Overig Afrika,99445
Nederland,Overig Amerika,45466
Nederland,Overig Azië,85557
Nederland,Overig Europa,96365
Nederland,Overig Oceanië,5486
Groningen (PV),Afghanistan,750
Groningen (PV),Australië,423
Groningen (PV),België,1101
Groningen (PV),Brazilië,501
Groningen (PV),Canada en overig Noord-Amerika,488
Groningen (PV),China,2024
Groningen (PV),Colombia,304
Groningen (PV),Dominicaanse Republiek,451
Groningen (PV),Duitsland,14217
Groningen (PV),Egypte,321
Groningen (PV),Ethiopië,186
Groningen (PV),Filippijnen,331
Groningen (PV),Frankrijk,796
Groningen (PV),Ghana,151
Groningen (PV),Griekenland,307
Groningen (PV),Hongarije,386
Groningen (PV),Hongkong,209
Groningen (PV),India,467
Groningen (PV),Indonesië,10397
Groningen (PV),Irak,1382
Groningen (PV),Iran,1252
Groningen (PV),Italië,1161
Groningen (PV),Japan,141
Groningen (PV),Kaapverdië,262
Groningen (PV),Marokko,1675
Groningen (PV),Oostenrijk,340
Groningen (PV),Pakistan,273
Groningen (PV),Polen,2004
Groningen (PV),Portugal,230
Groningen (PV),Somalië,1086
Groningen (PV),Spanje,665
Groningen (PV),Suriname,6259
Groningen (PV),Turkije,4803
Groningen (PV),Verenigd Koninkrijk,1788
Groningen (PV),Verenigde Staten van Amerika,860
Groningen (PV),Vietnam,354
Groningen (PV),Zuid-Afrika,461
Groningen (PV),Overig Afrika,3083
Groningen (PV),Overig Amerika,1141
Groningen (PV),Overig Azië,2595
Groningen (PV),Overig Europa,2914
Groningen (PV),Overig Oceanië,127
Friesland (PV),Afghanistan,804
Friesland (PV),Australië,323
Friesland (PV),België,938
Friesland (PV),Brazilië,332
Friesland (PV),Canada en overig Noord-Amerika,728
Friesland (PV),China,1426
Friesland (PV),Colombia,197
Friesland (PV),Dominicaanse Republiek,179
Friesland (PV),Duitsland,10623
Friesland (PV),Egypte,344
Friesland (PV),Ethiopië,164
Friesland (PV),Filippijnen,452
Friesland (PV),Frankrijk,568
Friesland (PV),Ghana,101
Friesland (PV),Griekenland,226
Friesland (PV),Hongarije,350
Friesland (PV),Hongkong,146
Friesland (PV),India,393
Friesland (PV),Indonesië,7497
Friesland (PV),Irak,1866
Friesland (PV),Iran,548
Friesland (PV),Italië,589
Friesland (PV),Japan,51
Friesland (PV),Kaapverdië,89
Friesland (PV),Marokko,2152
Friesland (PV),Oostenrijk,334
Friesland (PV),Pakistan,170
Friesland (PV),Polen,1495
Friesland (PV),Portugal,161
Friesland (PV),Somalië,896
Friesland (PV),Spanje,315
Friesland (PV),Suriname,3043
Friesland (PV),Turkije,1707
Friesland (PV),Verenigd Koninkrijk,1478
Friesland (PV),Verenigde Staten van Amerika,648
Friesland (PV),Vietnam,738
Friesland (PV),Zuid-Afrika,449
Friesland (PV),Overig Afrika,2574
Friesland (PV),Overig Amerika,769
Friesland (PV),Overig Azië,2114
Friesland (PV),Overig Europa,2000
Friesland (PV),Overig Oceanië,124
Drenthe (PV),Afghanistan,557
Drenthe (PV),Australië,308
Drenthe (PV),België,681
Drenthe (PV),Brazilië,326
Drenthe (PV),Canada en overig Noord-Amerika,237
Drenthe (PV),China,992
Drenthe (PV),Colombia,130
Drenthe (PV),Dominicaanse Republiek,117
Drenthe (PV),Duitsland,9183
Drenthe (PV),Egypte,329
Drenthe (PV),Ethiopië,173
Drenthe (PV),Filippijnen,229
Drenthe (PV),Frankrijk,352
Drenthe (PV),Ghana,50
Drenthe (PV),Griekenland,131
Drenthe (PV),Hongarije,216
Drenthe (PV),Hongkong,129
Drenthe (PV),India,151
Drenthe (PV),Indonesië,7817
Drenthe (PV),Irak,1351
Drenthe (PV),Iran,571
Drenthe (PV),Italië,551
Drenthe (PV),Japan,22
Drenthe (PV),Kaapverdië,11
Drenthe (PV),Marokko,1525
Drenthe (PV),Oostenrijk,206
Drenthe (PV),Pakistan,147
Drenthe (PV),Polen,1242
Drenthe (PV),Portugal,112
Drenthe (PV),Somalië,683
Drenthe (PV),Spanje,248
Drenthe (PV),Suriname,1856
Drenthe (PV),Turkije,1915
Drenthe (PV),Verenigd Koninkrijk,1051
Drenthe (PV),Verenigde Staten van Amerika,385
Drenthe (PV),Vietnam,290
Drenthe (PV),Zuid-Afrika,355
Drenthe (PV),Overig Afrika,1647
Drenthe (PV),Overig Amerika,409
Drenthe (PV),Overig Azië,1376
Drenthe (PV),Overig Europa,1227
Drenthe (PV),Overig Oceanië,88
Overijssel (PV),Afghanistan,1764
