Regio,Migratieachtergrond,value
Nederland,Afghanistan,21468
Nederland,Australië,12230
Nederland,België,112604
Nederland,Brazilië,8913
Nederland,Canada en overig Noord-Amerika,11240
Nederland,China,29759
Nederland,Colombia,7025
Nederland,Dominicaanse Republiek,7341
Nederland,Duitsland,401119
Nederland,Egypte,14398
Nederland,Ethiopië,8997
Nederland,Filippijnen,9857
Nederland,Frankrijk,29792
Nederland,Ghana,15609
Nederland,Griekenland,11232
Nederland,Hongarije,11917
Nederland,Hongkong,17510
Nederland,India,11516
Nederland,Indonesië,405155
Nederland,Irak,33449
Nederland,Iran,22893
Nederland,Italië,33780
Nederland,Japan,6674
Nederland,Kaapverdië,18242
Nederland,Marokko,262221
Nederland,Oostenrijk,15468
Nederland,Pakistan,16149
Nederland,Polen,29180
Nederland,Portugal,14281
Nederland,Somalië,28780
Nederland,Spanje,30023
Nederland,Suriname,302514
Nederland,Turkije,308890
Nederland,Verenigd Koninkrijk,69263
Nederland,Verenigde Staten van Amerika,26808
Nederland,Vietnam,14717
Nederland,Zuid-Afrika,12524
Nederland,Overig Afrika,52752
Nederland,Overig Amerika,27275
Nederland,Overig Azië,48771
Nederland,Overig Europa,51891
Nederland,Overig Oceanië,4306
Groningen (PV),Afghanistan,583
Groningen (PV),Australië,324
Groningen (PV),België,877
Groningen (PV),Brazilië,220
Groningen (PV),Canada en overig Noord-Amerika,336
Groningen (PV),China,1017
Groningen (PV),Colombia,131
Groningen (PV),Dominicaanse Republiek,316
Groningen (PV),Duitsland,12918
Groningen (PV),Egypte,194
Groningen (PV),Ethiopië,147
Groningen (PV),Filippijnen,185
Groningen (PV),Frankrijk,585
Groningen (PV),Ghana,85
Groningen (PV),Griekenland,197
Groningen (PV),Hongarije,236
Groningen (PV),Hongkong,263
Groningen (PV),India,172
Groningen (PV),Indonesië,11014
Groningen (PV),Irak,1141
Groningen (PV),Iran,926
Groningen (PV),Italië,943
Groningen (PV),Japan,92
Groningen (PV),Kaapverdië,253
Groningen (PV),Marokko,1177
Groningen (PV),Oostenrijk,293
Groningen (PV),Pakistan,199
Groningen (PV),Polen,950
Groningen (PV),Portugal,145
Groningen (PV),Somalië,713
Groningen (PV),Spanje,318
Groningen (PV),Suriname,5934
Groningen (PV),Turkije,3889
Groningen (PV),Verenigd Koninkrijk,1540
Groningen (PV),Verenigde Staten van Amerika,626
Groningen (PV),Vietnam,273
Groningen (PV),Zuid-Afrika,286
Groningen (PV),Overig Afrika,1575
Groningen (PV),Overig Amerika,611
Groningen (PV),Overig Azië,1359
Groningen (PV),Overig Europa,1674
Groningen (PV),Overig Oceanië,91
Friesland (PV),Afghanistan,748
Friesland (PV),Australië,267
Friesland (PV),België,741
Friesland (PV),Brazilië,162
Friesland (PV),Canada en overig Noord-Amerika,676
Friesland (PV),China,821
Friesland (PV),Colombia,87
Friesland (PV),Dominicaanse Republiek,91
Friesland (PV),Duitsland,9917
Friesland (PV),Egypte,244
Friesland (PV),Ethiopië,122
Friesland (PV),Filippijnen,217
Friesland (PV),Frankrijk,496
Friesland (PV),Ghana,78
Friesland (PV),Griekenland,171
Friesland (PV),Hongarije,216
Friesland (PV),Hongkong,173
Friesland (PV),India,196
Friesland (PV),Indonesië,7722
Friesland (PV),Irak,1844
Friesland (PV),Iran,601
Friesland (PV),Italië,527
Friesland (PV),Japan,29
Friesland (PV),Kaapverdië,92
Friesland (PV),Marokko,2038
Friesland (PV),Oostenrijk,286
Friesland (PV),Pakistan,150
Friesland (PV),Polen,696
Friesland (PV),Portugal,100
Friesland (PV),Somalië,986
Friesland (PV),Spanje,221
Friesland (PV),Suriname,2829
Friesland (PV),Turkije,1348
Friesland (PV),Verenigd Koninkrijk,1262
Friesland (PV),Verenigde Staten van Amerika,537
Friesland (PV),Vietnam,695
Friesland (PV),Zuid-Afrika,263
Friesland (PV),Overig Afrika,1519
Friesland (PV),Overig Amerika,508
Friesland (PV),Overig Azië,1266
Friesland (PV),Overig Europa,1127
Friesland (PV),Overig Oceanië,97
Drenthe (PV),Afghanistan,561
Drenthe (PV),Australië,266
Drenthe (PV),België,592
Drenthe (PV),Brazilië,158
Drenthe (PV),Canada en overig Noord-Amerika,305
Drenthe (PV),China,706
Drenthe (PV),Colombia,52
Drenthe (PV),Dominicaanse Republiek,48
Drenthe (PV),Duitsland,9288
Drenthe (PV),Egypte,248
Drenthe (PV),Ethiopië,131
Drenthe (PV),Filippijnen,125
Drenthe (PV),Frankrijk,281
Drenthe (PV),Ghana,29
Drenthe (PV),Griekenland,105
Drenthe (PV),Hongarije,130
Drenthe (PV),Hongkong,157
Drenthe (PV),India,66
Drenthe (PV),Indonesië,8129
Drenthe (PV),Irak,1072
Drenthe (PV),Iran,467
Drenthe (PV),Italië,518
Drenthe (PV),Japan,13
Drenthe (PV),Kaapverdië,15
Drenthe (PV),Marokko,1107
Drenthe (PV),Oostenrijk,228
Drenthe (PV),Pakistan,133
Drenthe (PV),Polen,635
Drenthe (PV),Portugal,58
Drenthe (PV),Somalië,512
Drenthe (PV),Spanje,189
Drenthe (PV),Suriname,1633
Drenthe (PV),Turkije,1389
Drenthe (PV),Verenigd Koninkrijk,1033
Drenthe (PV),Verenigde Staten van Amerika,364
Drenthe (PV),Vietnam,318
Drenthe (PV),Zuid-Afrika,233
Drenthe (PV),Overig Afrika,911
Drenthe (PV),Overig Amerika,241
Drenthe (PV),Overig Azië,1024
Drenthe (PV),Overig Europa,767
Drenthe (PV),Overig Oceanië,76
Overijssel (PV),Afghanistan,1225
Overijssel (PV),Australië,578
Overijssel (PV),België,1425
Overijssel (PV),Brazilië,493
Overijssel (PV),Canada en overig Noord-Amerika,524
Overijssel (PV),China,1897
Overijssel (PV),Colombia,240
Overijssel (PV),Dominicaanse Republiek,157
Overijssel (PV),Duitsland,33442
Overijssel (PV),Egypte,289
Overijssel (PV),Ethiopië,338
Overijssel (PV),Filippijnen,370
Overijssel (PV),Frankrijk,836
Overijssel (PV),Ghana,135
Overijssel (PV),Griekenland,241
Overijssel (PV),Hongarije,832
Overijssel (PV),Hongkong,521
Overijssel (PV),India,262
Overijssel (PV),Indonesië,21255
Overijssel (PV),Irak,3375
Overijssel (PV),Iran,1253
Overijssel (PV),Italië,2690
Overijssel (PV),Japan,55
Overijssel (PV),Kaapverdië,14
Overijssel (PV),Marokko,3577
Overijssel (PV),Oostenrijk,679
Overijssel (PV),Pakistan,236
Overijssel (PV),Polen,1466
Overijssel (PV),Portugal,187
Overijssel (PV),Somalië,813
Overijssel (PV),Spanje,1511
Overijssel (PV),Suriname,4789
Overijssel (PV),Turkije,30727
Overijssel (PV),Verenigd Koninkrijk,1960
Overijssel (PV),Verenigde Staten van Amerika,780
Overijssel (PV),Vietnam,781
Overijssel (PV),Zuid-Afrika,637
Overijssel (PV),Overig Afrika,2243
Overijssel (PV),Overig Amerika,942
Overijssel (PV),Overig Azië,4306
Overijssel (PV),Overig Europa,2125
Overijssel (PV),Overig Oceanië,233
Flevoland (PV),Afghanistan,409
Flevoland (PV),Australië,298
Flevoland (PV),België,1051
Flevoland (PV),Brazilië,288
Flevoland (PV),Canada en overig Noord-Amerika,354
Flevoland (PV),China,470
Flevoland (PV),Colombia,167
Flevoland (PV),Dominicaanse Republiek,179
Flevoland (PV),Duitsland,5929
Flevoland (PV),Egypte,491
Flevoland (PV),Ethiopië,107
Flevoland (PV),Filippijnen,507
Flevoland (PV),Frankrijk,573
Flevoland (PV),Ghana,478
Flevoland (PV),Griekenland,159
Flevoland (PV),Hongarije,229
Flevoland (PV),Hongkong,380
Flevoland (PV),India,288
Flevoland (PV),Indonesië,8609
Flevoland (PV),Irak,1132
Flevoland (PV),Iran,821
Flevoland (PV),Italië,696
Flevoland (PV),Japan,117
Flevoland (PV),Kaapverdië,47
Flevoland (PV),Marokko,5492
Flevoland (PV),Oostenrijk,288
Flevoland (PV),Pakistan,381
Flevoland (PV),Polen,708
Flevoland (PV),Portugal,305
Flevoland (PV),Somalië,309
Flevoland (PV),Spanje,533
Flevoland (PV),Suriname,14309
Flevoland (PV),Turkije,2860
Flevoland (PV),Verenigd Koninkrijk,1468
Flevoland (PV),Verenigde Staten van Amerika,583
Flevoland (PV),Vietnam,672
Flevoland (PV),Zuid-Afrika,494
Flevoland (PV),Overig Afrika,1337
Flevoland (PV),Overig Amerika,863
Flevoland (PV),Overig Azië,1147
Flevoland (PV),Overig Europa,1135
Flevoland (PV),Overig Oceanië,120
Gelderland (PV),Afghanistan,2828
Gelderland (PV),Australië,1239
Gelderland (PV),België,5102
Gelderland (PV),Brazilië,779
Gelderland (PV),Canada en overig Noord-Amerika,1178
Gelderland (PV),China,3019
Gelderland (PV),Colombia,480
Gelderland (PV),Dominicaanse Republiek,461
Gelderland (PV),Duitsland,54201
Gelderland (PV),Egypte,729
Gelderland (PV),Ethiopië,712
Gelderland (PV),Filippijnen,800
Gelderland (PV),Frankrijk,2155
Gelderland (PV),Ghana,386
Gelderland (PV),Griekenland,841
Gelderland (PV),Hongarije,1129
Gelderland (PV),Hongkong,1419
Gelderland (PV),India,488
Gelderland (PV),Indonesië,47704
Gelderland (PV),Irak,3665
Gelderland (PV),Iran,2268
Gelderland (PV),Italië,2981
Gelderland (PV),Japan,187
Gelderland (PV),Kaapverdië,52
Gelderland (PV),Marokko,15709
Gelderland (PV),Oostenrijk,1510
Gelderland (PV),Pakistan,369
Gelderland (PV),Polen,2568
Gelderland (PV),Portugal,372
Gelderland (PV),Somalië,2921
Gelderland (PV),Spanje,2041
Gelderland (PV),Suriname,10404
Gelderland (PV),Turkije,32663
Gelderland (PV),Verenigd Koninkrijk,4658
Gelderland (PV),Verenigde Staten van Amerika,1834
Gelderland (PV),Vietnam,1761
Gelderland (PV),Zuid-Afrika,1153
