Regio,Migratieachtergrond,value
Nederland,Afghanistan,15811
Nederland,Australië,11658
Nederland,België,112015
Nederland,Brazilië,8356
Nederland,Canada en overig Noord-Amerika,10872
Nederland,China,27991
Nederland,Colombia,6590
Nederland,Dominicaanse Republiek,6811
Nederland,Duitsland,403494
Nederland,Egypte,13635
Nederland,Ethiopië,8696
Nederland,Filippijnen,9394
Nederland,Frankrijk,28725
Nederland,Ghana,14905
Nederland,Griekenland,10857
Nederland,Hongarije,11903
Nederland,Hongkong,17376
Nederland,India,11015
Nederland,Indonesië,406947
Nederland,Irak,30002
Nederland,Iran,21790
Nederland,Italië,33113
Nederland,Japan,6603
Nederland,Kaapverdië,17925
Nederland,Marokko,252493
Nederland,Oostenrijk,15407
Nederland,Pakistan,15582
Nederland,Polen,28483
Nederland,Portugal,13650
Nederland,Somalië,27421
Nederland,Spanje,29651
Nederland,Suriname,296984
Nederland,Turkije,299662
Nederland,Verenigd Koninkrijk,67766
Nederland,Verenigde Staten van Amerika,25666
Nederland,Vietnam,14277
Nederland,Zuid-Afrika,11784
Nederland,Overig Afrika,47078
Nederland,Overig Amerika,25914
Nederland,Overig Azië,45413
Nederland,Overig Europa,49821
Nederland,Overig Oceanië,4054
Groningen (PV),Afghanistan,434
Groningen (PV),Australië,311
Groningen (PV),België,861
Groningen (PV),Brazilië,201
Groningen (PV),Canada en overig Noord-Amerika,318
Groningen (PV),China,939
Groningen (PV),Colombia,125
Groningen (PV),Dominicaanse Republiek,283
Groningen (PV),Duitsland,12895
Groningen (PV),Egypte,206
Groningen (PV),Ethiopië,160
Groningen (PV),Filippijnen,176
Groningen (PV),Frankrijk,559
Groningen (PV),Ghana,89
Groningen (PV),Griekenland,186
Groningen (PV),Hongarije,221
Groningen (PV),Hongkong,264
Groningen (PV),India,168
Groningen (PV),Indonesië,11059
Groningen (PV),Irak,1137
Groningen (PV),Iran,904
Groningen (PV),Italië,920
Groningen (PV),Japan,90
Groningen (PV),Kaapverdië,241
Groningen (PV),Marokko,1115
Groningen (PV),Oostenrijk,287
Groningen (PV),Pakistan,199
Groningen (PV),Polen,909
Groningen (PV),Portugal,138
Groningen (PV),Somalië,716
Groningen (PV),Spanje,304
Groningen (PV),Suriname,5877
Groningen (PV),Turkije,3835
Groningen (PV),Verenigd Koninkrijk,1548
Groningen (PV),Verenigde Staten van Amerika,622
Groningen (PV),Vietnam,256
Groningen (PV),Zuid-Afrika,256
Groningen (PV),Overig Afrika,1418
Groningen (PV),Overig Amerika,572
Groningen (PV),Overig Azië,1261
Groningen (PV),Overig Europa,1573
Groningen (PV),Overig Oceanië,83
Friesland (PV),Afghanistan,605
Friesland (PV),Australië,253
Friesland (PV),België,714
Friesland (PV),Brazilië,144
