Regio,Migratieachtergrond,value
Nederland,Afghanistan,43183
Nederland,Australië,15377
Nederland,België,115028
Nederland,Brazilië,20997
Nederland,Canada en overig Noord-Amerika,14964
Nederland,China,64097
Nederland,Colombia,14759
Nederland,Dominicaanse Republiek,13220
Nederland,Duitsland,368512
Nederland,Egypte,22205
Nederland,Ethiopië,12596
Nederland,Filippijnen,18627
Nederland,Frankrijk,39595
Nederland,Ghana,22556
Nederland,Griekenland,19217
Nederland,Hongarije,20226
Nederland,Hongkong,18218
Nederland,India,26932
Nederland,Indonesië,372233
Nederland,Irak,54159
Nederland,Iran,36561
Nederland,Italië,44105
Nederland,Japan,7334
Nederland,Kaapverdië,21714
Nederland,Marokko,374996
Nederland,Oostenrijk,15631
Nederland,Pakistan,20653
Nederland,Polen,123003
Nederland,Portugal,23613
Nederland,Somalië,37432
Nederland,Spanje,38955
Nederland,Suriname,348291
Nederland,Turkije,396414
Nederland,Verenigd Koninkrijk,81860
Nederland,Verenigde Staten van Amerika,35736
Nederland,Vietnam,20603
Nederland,Zuid-Afrika,18586
Nederland,Overig Afrika,102542
Nederland,Overig Amerika,48468
Nederland,Overig Azië,92920
Nederland,Overig Europa,101625
Nederland,Overig Oceanië,5653
Groningen (PV),Afghanistan,822
Groningen (PV),Australië,469
Groningen (PV),België,1131
Groningen (PV),Brazilië,629
Groningen (PV),Canada en overig Noord-Amerika,524
Groningen (PV),China,2197
Groningen (PV),Colombia,333
Groningen (PV),Dominicaanse Republiek,469
Groningen (PV),Duitsland,14343
Groningen (PV),Egypte,360
Groningen (PV),Ethiopië,219
Groningen (PV),Filippijnen,386
Groningen (PV),Frankrijk,819
Groningen (PV),Ghana,172
Groningen (PV),Griekenland,419
Groningen (PV),Hongarije,425
Groningen (PV),Hongkong,219
Groningen (PV),India,500
Groningen (PV),Indonesië,10223
Groningen (PV),Irak,1334
Groningen (PV),Iran,1319
Groningen (PV),Italië,1299
Groningen (PV),Japan,158
Groningen (PV),Kaapverdië,266
Groningen (PV),Marokko,1751
Groningen (PV),Oostenrijk,350
Groningen (PV),Pakistan,273
Groningen (PV),Polen,2188
Groningen (PV),Portugal,269
Groningen (PV),Somalië,1233
Groningen (PV),Spanje,844
Groningen (PV),Suriname,6265
Groningen (PV),Turkije,4745
Groningen (PV),Verenigd Koninkrijk,1913
Groningen (PV),Verenigde Staten van Amerika,894
Groningen (PV),Vietnam,355
Groningen (PV),Zuid-Afrika,506
Groningen (PV),Overig Afrika,3251
Groningen (PV),Overig Amerika,1255
Groningen (PV),Overig Azië,2983
Groningen (PV),Overig Europa,3233
Groningen (PV),Overig Oceanië,127
Friesland (PV),Afghanistan,897
Friesland (PV),Australië,308
Friesland (PV),België,935
Friesland (PV),Brazilië,359
Friesland (PV),Canada en overig Noord-Amerika,719
Friesland (PV),China,1411
Friesland (PV),Colombia,219
Friesland (PV),Dominicaanse Republiek,184
Friesland (PV),Duitsland,10193
Friesland (PV),Egypte,355
Friesland (PV),Ethiopië,241
Friesland (PV),Filippijnen,470
Friesland (PV),Frankrijk,540
Friesland (PV),Ghana,108
Friesland (PV),Griekenland,271
Friesland (PV),Hongarije,420
Friesland (PV),Hongkong,145
Friesland (PV),India,408
Friesland (PV),Indonesië,7422
Friesland (PV),Irak,1824
Friesland (PV),Iran,648
Friesland (PV),Italië,612
Friesland (PV),Japan,61
Friesland (PV),Kaapverdië,83
Friesland (PV),Marokko,2168
Friesland (PV),Oostenrijk,325
Friesland (PV),Pakistan,176
Friesland (PV),Polen,1610
Friesland (PV),Portugal,179
Friesland (PV),Somalië,1035
Friesland (PV),Spanje,353
Friesland (PV),Suriname,3073
Friesland (PV),Turkije,1731
Friesland (PV),Verenigd Koninkrijk,1490
Friesland (PV),Verenigde Staten van Amerika,658
Friesland (PV),Vietnam,767
Friesland (PV),Zuid-Afrika,470
Friesland (PV),Overig Afrika,2687
Friesland (PV),Overig Amerika,799
Friesland (PV),Overig Azië,2378
Friesland (PV),Overig Europa,2087
Friesland (PV),Overig Oceanië,131
Drenthe (PV),Afghanistan,580
Drenthe (PV),Australië,304
Drenthe (PV),België,694
Drenthe (PV),Brazilië,352
Drenthe (PV),Canada en overig Noord-Amerika,238
Drenthe (PV),China,993
Drenthe (PV),Colombia,144
Drenthe (PV),Dominicaanse Republiek,124
Drenthe (PV),Duitsland,8921
Drenthe (PV),Egypte,355
Drenthe (PV),Ethiopië,167
Drenthe (PV),Filippijnen,261
Drenthe (PV),Frankrijk,351
Drenthe (PV),Ghana,44
Drenthe (PV),Griekenland,138
Drenthe (PV),Hongarije,259
Drenthe (PV),Hongkong,117
Drenthe (PV),India,175
Drenthe (PV),Indonesië,7701
Drenthe (PV),Irak,1424
Drenthe (PV),Iran,569
Drenthe (PV),Italië,589
Drenthe (PV),Japan,24
Drenthe (PV),Kaapverdië,14
Drenthe (PV),Marokko,1539
Drenthe (PV),Oostenrijk,224
Drenthe (PV),Pakistan,153
Drenthe (PV),Polen,1408
Drenthe (PV),Portugal,123
Drenthe (PV),Somalië,792
Drenthe (PV),Spanje,262
Drenthe (PV),Suriname,1884
Drenthe (PV),Turkije,1806
Drenthe (PV),Verenigd Koninkrijk,1050
Drenthe (PV),Verenigde Staten van Amerika,371
Drenthe (PV),Vietnam,300
Drenthe (PV),Zuid-Afrika,371
Drenthe (PV),Overig Afrika,1699
Drenthe (PV),Overig Amerika,435
Drenthe (PV),Overig Azië,1505
Drenthe (PV),Overig Europa,1267
Drenthe (PV),Overig Oceanië,95
Overijssel (PV),Afghanistan,1751
Overijssel (PV),Australië,662
Overijssel (PV),België,1777
Overijssel (PV),Brazilië,1199
Overijssel (PV),Canada en overig Noord-Amerika,651
Overijssel (PV),China,3255
Overijssel (PV),Colombia,543
Overijssel (PV),Dominicaanse Republiek,396
Overijssel (PV),Duitsland,30420
Overijssel (PV),Egypte,400
Overijssel (PV),Ethiopië,439
Overijssel (PV),Filippijnen,651
Overijssel (PV),Frankrijk,1047
Overijssel (PV),Ghana,174
Overijssel (PV),Griekenland,436
Overijssel (PV),Hongarije,1079
Overijssel (PV),Hongkong,435
Overijssel (PV),India,571
Overijssel (PV),Indonesië,19441
Overijssel (PV),Irak,6145
Overijssel (PV),Iran,1664
Overijssel (PV),Italië,2672
Overijssel (PV),Japan,75
Overijssel (PV),Kaapverdië,34
Overijssel (PV),Marokko,4296
Overijssel (PV),Oostenrijk,732
Overijssel (PV),Pakistan,372
Overijssel (PV),Polen,4234
Overijssel (PV),Portugal,360
Overijssel (PV),Somalië,1271
Overijssel (PV),Spanje,1605
Overijssel (PV),Suriname,5395
Overijssel (PV),Turkije,34980
Overijssel (PV),Verenigd Koninkrijk,2365
Overijssel (PV),Verenigde Staten van Amerika,963
Overijssel (PV),Vietnam,940
Overijssel (PV),Zuid-Afrika,943
