Regio,Migratieachtergrond,value
Nederland,Afghanistan,36043
Nederland,Australië,14221
Nederland,België,113081
Nederland,Brazilië,11638
Nederland,Canada en overig Noord-Amerika,12685
Nederland,China,41694
Nederland,Colombia,9366
Nederland,Dominicaanse Republiek,9546
Nederland,Duitsland,389912
Nederland,Egypte,17873
Nederland,Ethiopië,10236
Nederland,Filippijnen,12401
Nederland,Frankrijk,32788
Nederland,Ghana,18727
Nederland,Griekenland,12637
Nederland,Hongarije,12564
Nederland,Hongkong,17965
Nederland,India,13363
Nederland,Indonesië,398502
Nederland,Irak,42931
Nederland,Iran,28438
Nederland,Italië,35708
Nederland,Japan,7215
Nederland,Kaapverdië,19666
Nederland,Marokko,306219
Nederland,Oostenrijk,15522
Nederland,Pakistan,17990
Nederland,Polen,35542
Nederland,Portugal,17234
Nederland,Somalië,25001
Nederland,Spanje,31402
Nederland,Suriname,325281
Nederland,Turkije,351648
Nederland,Verenigd Koninkrijk,76457
Nederland,Verenigde Staten van Amerika,30161
Nederland,Vietnam,17536
Nederland,Zuid-Afrika,15164
Nederland,Overig Afrika,88801
Nederland,Overig Amerika,34657
Nederland,Overig Azië,65391
Nederland,Overig Europa,60788
Nederland,Overig Oceanië,5057
Groningen (PV),Afghanistan,1136
Groningen (PV),Australië,372
Groningen (PV),België,967
Groningen (PV),Brazilië,308
Groningen (PV),Canada en overig Noord-Amerika,371
Groningen (PV),China,1451
Groningen (PV),Colombia,197
Groningen (PV),Dominicaanse Republiek,380
Groningen (PV),Duitsland,12822
Groningen (PV),Egypte,247
Groningen (PV),Ethiopië,157
Groningen (PV),Filippijnen,231
Groningen (PV),Frankrijk,632
Groningen (PV),Ghana,87
Groningen (PV),Griekenland,206
Groningen (PV),Hongarije,240
Groningen (PV),Hongkong,260
Groningen (PV),India,195
Groningen (PV),Indonesië,10991
Groningen (PV),Irak,1240
Groningen (PV),Iran,1179
Groningen (PV),Italië,967
Groningen (PV),Japan,73
Groningen (PV),Kaapverdië,289
Groningen (PV),Marokko,1389
Groningen (PV),Oostenrijk,297
Groningen (PV),Pakistan,189
Groningen (PV),Polen,1137
Groningen (PV),Portugal,157
Groningen (PV),Somalië,716
Groningen (PV),Spanje,373
Groningen (PV),Suriname,6127
Groningen (PV),Turkije,4351
Groningen (PV),Verenigd Koninkrijk,1642
Groningen (PV),Verenigde Staten van Amerika,662
Groningen (PV),Vietnam,299
Groningen (PV),Zuid-Afrika,381
Groningen (PV),Overig Afrika,3633
Groningen (PV),Overig Amerika,789
Groningen (PV),Overig Azië,1990
Groningen (PV),Overig Europa,1995
Groningen (PV),Overig Oceanië,103
Friesland (PV),Afghanistan,1158
Friesland (PV),Australië,314
Friesland (PV),België,818
Friesland (PV),Brazilië,184
Friesland (PV),Canada en overig Noord-Amerika,713
Friesland (PV),China,1415
Friesland (PV),Colombia,127
Friesland (PV),Dominicaanse Republiek,116
Friesland (PV),Duitsland,9966
Friesland (PV),Egypte,306
Friesland (PV),Ethiopië,139
Friesland (PV),Filippijnen,299
Friesland (PV),Frankrijk,530
Friesland (PV),Ghana,73
Friesland (PV),Griekenland,188
Friesland (PV),Hongarije,222
Friesland (PV),Hongkong,170
Friesland (PV),India,244
Friesland (PV),Indonesië,7818
Friesland (PV),Irak,1994
Friesland (PV),Iran,740
Friesland (PV),Italië,557
Friesland (PV),Japan,31
Friesland (PV),Kaapverdië,93
Friesland (PV),Marokko,2143
Friesland (PV),Oostenrijk,321
Friesland (PV),Pakistan,184
Friesland (PV),Polen,789
Friesland (PV),Portugal,120
Friesland (PV),Somalië,856
Friesland (PV),Spanje,247
Friesland (PV),Suriname,2887
Friesland (PV),Turkije,1632
Friesland (PV),Verenigd Koninkrijk,1343
Friesland (PV),Verenigde Staten van Amerika,618
Friesland (PV),Vietnam,799
Friesland (PV),Zuid-Afrika,359
Friesland (PV),Overig Afrika,3517
Friesland (PV),Overig Amerika,624
Friesland (PV),Overig Azië,1856
Friesland (PV),Overig Europa,1360
Friesland (PV),Overig Oceanië,122
Drenthe (PV),Afghanistan,797
Drenthe (PV),Australië,291
Drenthe (PV),België,636
Drenthe (PV),Brazilië,206
Drenthe (PV),Canada en overig Noord-Amerika,283
Drenthe (PV),China,829
Drenthe (PV),Colombia,73
Drenthe (PV),Dominicaanse Republiek,88
Drenthe (PV),Duitsland,9185
Drenthe (PV),Egypte,335
Drenthe (PV),Ethiopië,161
Drenthe (PV),Filippijnen,161
Drenthe (PV),Frankrijk,305
Drenthe (PV),Ghana,36
Drenthe (PV),Griekenland,128
Drenthe (PV),Hongarije,137
Drenthe (PV),Hongkong,149
Drenthe (PV),India,84
Drenthe (PV),Indonesië,8028
Drenthe (PV),Irak,1168
Drenthe (PV),Iran,584
Drenthe (PV),Italië,545
Drenthe (PV),Japan,16
Drenthe (PV),Kaapverdië,10
Drenthe (PV),Marokko,1260
Drenthe (PV),Oostenrijk,200
Drenthe (PV),Pakistan,134
Drenthe (PV),Polen,766
Drenthe (PV),Portugal,87
Drenthe (PV),Somalië,434
Drenthe (PV),Spanje,189
Drenthe (PV),Suriname,1699
Drenthe (PV),Turkije,1641
Drenthe (PV),Verenigd Koninkrijk,1040
Drenthe (PV),Verenigde Staten van Amerika,366
Drenthe (PV),Vietnam,278
Drenthe (PV),Zuid-Afrika,294
Drenthe (PV),Overig Afrika,1988
Drenthe (PV),Overig Amerika,335
Drenthe (PV),Overig Azië,1329
Drenthe (PV),Overig Europa,971
Drenthe (PV),Overig Oceanië,84
Overijssel (PV),Afghanistan,1765
Overijssel (PV),Australië,632
Overijssel (PV),België,1515
Overijssel (PV),Brazilië,740
Overijssel (PV),Canada en overig Noord-Amerika,583
Overijssel (PV),China,3094
Overijssel (PV),Colombia,355
Overijssel (PV),Dominicaanse Republiek,227
Overijssel (PV),Duitsland,32337
Overijssel (PV),Egypte,317
Overijssel (PV),Ethiopië,374
Overijssel (PV),Filippijnen,443
Overijssel (PV),Frankrijk,952
Overijssel (PV),Ghana,147
Overijssel (PV),Griekenland,275
Overijssel (PV),Hongarije,864
Overijssel (PV),Hongkong,475
Overijssel (PV),India,326
Overijssel (PV),Indonesië,20888
Overijssel (PV),Irak,4088
Overijssel (PV),Iran,1388
Overijssel (PV),Italië,2661
Overijssel (PV),Japan,58
Overijssel (PV),Kaapverdië,19
Overijssel (PV),Marokko,3974
Overijssel (PV),Oostenrijk,681
Overijssel (PV),Pakistan,225
Overijssel (PV),Polen,1809
Overijssel (PV),Portugal,272
Overijssel (PV),Somalië,790
Overijssel (PV),Spanje,1560
Overijssel (PV),Suriname,5024
Overijssel (PV),Turkije,33560
Overijssel (PV),Verenigd Koninkrijk,2193
Overijssel (PV),Verenigde Staten van Amerika,875
Overijssel (PV),Vietnam,1066
Overijssel (PV),Zuid-Afrika,777
Overijssel (PV),Overig Afrika,4559
Overijssel (PV),Overig Amerika,1194
Overijssel (PV),Overig Azië,5900
Overijssel (PV),Overig Europa,2544
Overijssel (PV),Overig Oceanië,243
Flevoland (PV),Afghanistan,867
Flevoland (PV),Australië,352
Flevoland (PV),België,1193
Flevoland (PV),Brazilië,406
Flevoland (PV),Canada en overig Noord-Amerika,395
Flevoland (PV),China,877
Flevoland (PV),Colombia,296
Flevoland (PV),Dominicaanse Republiek,280
Flevoland (PV),Duitsland,6240
Flevoland (PV),Egypte,694
Flevoland (PV),Ethiopië,194
Flevoland (PV),Filippijnen,702
Flevoland (PV),Frankrijk,727
Flevoland (PV),Ghana,963
Flevoland (PV),Griekenland,231
Flevoland (PV),Hongarije,387
Flevoland (PV),Hongkong,455
Flevoland (PV),India,470
Flevoland (PV),Indonesië,9406
Flevoland (PV),Irak,1944
Flevoland (PV),Iran,1459
Flevoland (PV),Italië,790
Flevoland (PV),Japan,130
Flevoland (PV),Kaapverdië,67
Flevoland (PV),Marokko,7642
Flevoland (PV),Oostenrijk,348
Flevoland (PV),Pakistan,567
Flevoland (PV),Polen,1026
Flevoland (PV),Portugal,550
Flevoland (PV),Somalië,331
Flevoland (PV),Spanje,659
Flevoland (PV),Suriname,20969
Flevoland (PV),Turkije,4860
Flevoland (PV),Verenigd Koninkrijk,1723
Flevoland (PV),Verenigde Staten van Amerika,732
Flevoland (PV),Vietnam,820
Flevoland (PV),Zuid-Afrika,599
