Regio,Migratieachtergrond,value
Nederland,Afghanistan,42348
Nederland,Australië,15216
Nederland,België,114553
Nederland,Brazilië,19957
Nederland,Canada en overig Noord-Amerika,14818
Nederland,China,61890
Nederland,Colombia,14069
Nederland,Dominicaanse Republiek,12864
Nederland,Duitsland,372720
Nederland,Egypte,21783
Nederland,Ethiopië,12270
Nederland,Filippijnen,17903
Nederland,Frankrijk,38980
Nederland,Ghana,22263
Nederland,Griekenland,18253
Nederland,Hongarije,19430
Nederland,Hongkong,18192
Nederland,India,24983
Nederland,Indonesië,374847
Nederland,Irak,53731
Nederland,Iran,35395
Nederland,Italië,42542
Nederland,Japan,7387
Nederland,Kaapverdië,21550
Nederland,Marokko,368838
Nederland,Oostenrijk,15691
Nederland,Pakistan,20202
Nederland,Polen,111121
Nederland,Portugal,22795
Nederland,Somalië,34631
Nederland,Spanje,37124
Nederland,Suriname,347631
Nederland,Turkije,395302
Nederland,Verenigd Koninkrijk,80816
Nederland,Verenigde Staten van Amerika,35357
Nederland,Vietnam,20295
Nederland,Zuid-Afrika,18224
Nederland,Overig Afrika,100726
Nederland,Overig Amerika,47101
Nederland,Overig Azië,88448
Nederland,Overig Europa,99073
Nederland,Overig Oceanië,5583
Groningen (PV),Afghanistan,760
Groningen (PV),Australië,443
Groningen (PV),België,1139
Groningen (PV),Brazilië,543
Groningen (PV),Canada en overig Noord-Amerika,503
Groningen (PV),China,2144
Groningen (PV),Colombia,331
Groningen (PV),Dominicaanse Republiek,456
Groningen (PV),Duitsland,14299
Groningen (PV),Egypte,323
Groningen (PV),Ethiopië,204
Groningen (PV),Filippijnen,364
Groningen (PV),Frankrijk,806
Groningen (PV),Ghana,163
Groningen (PV),Griekenland,350
Groningen (PV),Hongarije,436
Groningen (PV),Hongkong,214
Groningen (PV),India,485
Groningen (PV),Indonesië,10316
Groningen (PV),Irak,1314
Groningen (PV),Iran,1282
Groningen (PV),Italië,1237
Groningen (PV),Japan,185
Groningen (PV),Kaapverdië,261
Groningen (PV),Marokko,1701
Groningen (PV),Oostenrijk,337
Groningen (PV),Pakistan,273
Groningen (PV),Polen,2150
Groningen (PV),Portugal,269
Groningen (PV),Somalië,1038
Groningen (PV),Spanje,745
Groningen (PV),Suriname,6254
Groningen (PV),Turkije,4794
Groningen (PV),Verenigd Koninkrijk,1834
Groningen (PV),Verenigde Staten van Amerika,859
Groningen (PV),Vietnam,366
Groningen (PV),Zuid-Afrika,482
Groningen (PV),Overig Afrika,3104
Groningen (PV),Overig Amerika,1162
Groningen (PV),Overig Azië,2692
Groningen (PV),Overig Europa,3064
Groningen (PV),Overig Oceanië,127
Friesland (PV),Afghanistan,880
Friesland (PV),Australië,324
Friesland (PV),België,936
Friesland (PV),Brazilië,340
Friesland (PV),Canada en overig Noord-Amerika,721
Friesland (PV),China,1421
Friesland (PV),Colombia,200
Friesland (PV),Dominicaanse Republiek,177
Friesland (PV),Duitsland,10390
Friesland (PV),Egypte,351
Friesland (PV),Ethiopië,205
Friesland (PV),Filippijnen,460
Friesland (PV),Frankrijk,554
Friesland (PV),Ghana,107
Friesland (PV),Griekenland,239
Friesland (PV),Hongarije,387
Friesland (PV),Hongkong,145
Friesland (PV),India,406
Friesland (PV),Indonesië,7451
Friesland (PV),Irak,1828
Friesland (PV),Iran,580
Friesland (PV),Italië,599
Friesland (PV),Japan,66
Friesland (PV),Kaapverdië,87
Friesland (PV),Marokko,2147
Friesland (PV),Oostenrijk,334
Friesland (PV),Pakistan,174
Friesland (PV),Polen,1562
Friesland (PV),Portugal,167
Friesland (PV),Somalië,883
Friesland (PV),Spanje,341
Friesland (PV),Suriname,3054
Friesland (PV),Turkije,1717
Friesland (PV),Verenigd Koninkrijk,1491
Friesland (PV),Verenigde Staten van Amerika,651
Friesland (PV),Vietnam,751
Friesland (PV),Zuid-Afrika,464
Friesland (PV),Overig Afrika,2618
Friesland (PV),Overig Amerika,787
Friesland (PV),Overig Azië,2183
Friesland (PV),Overig Europa,2076
Friesland (PV),Overig Oceanië,133
Drenthe (PV),Afghanistan,577
Drenthe (PV),Australië,296
Drenthe (PV),België,690
Drenthe (PV),Brazilië,338
Drenthe (PV),Canada en overig Noord-Amerika,241
Drenthe (PV),China,1005
Drenthe (PV),Colombia,134
Drenthe (PV),Dominicaanse Republiek,126
Drenthe (PV),Duitsland,8994
Drenthe (PV),Egypte,336
Drenthe (PV),Ethiopië,163
Drenthe (PV),Filippijnen,241
Drenthe (PV),Frankrijk,357
Drenthe (PV),Ghana,46
Drenthe (PV),Griekenland,133
Drenthe (PV),Hongarije,253
Drenthe (PV),Hongkong,126
Drenthe (PV),India,166
Drenthe (PV),Indonesië,7762
Drenthe (PV),Irak,1402
Drenthe (PV),Iran,574
Drenthe (PV),Italië,556
Drenthe (PV),Japan,22
Drenthe (PV),Kaapverdië,15
Drenthe (PV),Marokko,1532
Drenthe (PV),Oostenrijk,211
Drenthe (PV),Pakistan,165
Drenthe (PV),Polen,1353
Drenthe (PV),Portugal,113
Drenthe (PV),Somalië,697
Drenthe (PV),Spanje,252
Drenthe (PV),Suriname,1877
Drenthe (PV),Turkije,1795
Drenthe (PV),Verenigd Koninkrijk,1057
Drenthe (PV),Verenigde Staten van Amerika,390
Drenthe (PV),Vietnam,284
Drenthe (PV),Zuid-Afrika,367
Drenthe (PV),Overig Afrika,1673
Drenthe (PV),Overig Amerika,422
Drenthe (PV),Overig Azië,1413
Drenthe (PV),Overig Europa,1250
Drenthe (PV),Overig Oceanië,89
Overijssel (PV),Afghanistan,1743
Overijssel (PV),Australië,667
Overijssel (PV),België,1749
Overijssel (PV),Brazilië,1172
Overijssel (PV),Canada en overig Noord-Amerika,648
Overijssel (PV),China,3230
Overijssel (PV),Colombia,520
Overijssel (PV),Dominicaanse Republiek,367
Overijssel (PV),Duitsland,31021
Overijssel (PV),Egypte,391
Overijssel (PV),Ethiopië,444
Overijssel (PV),Filippijnen,624
Overijssel (PV),Frankrijk,1059
Overijssel (PV),Ghana,177
Overijssel (PV),Griekenland,403
Overijssel (PV),Hongarije,1067
Overijssel (PV),Hongkong,441
Overijssel (PV),India,556
Overijssel (PV),Indonesië,19574
Overijssel (PV),Irak,6013
Overijssel (PV),Iran,1636
Overijssel (PV),Italië,2643
Overijssel (PV),Japan,81
Overijssel (PV),Kaapverdië,40
Overijssel (PV),Marokko,4279
Overijssel (PV),Oostenrijk,735
Overijssel (PV),Pakistan,356
Overijssel (PV),Polen,3990
Overijssel (PV),Portugal,355
Overijssel (PV),Somalië,1237
Overijssel (PV),Spanje,1576
Overijssel (PV),Suriname,5388
Overijssel (PV),Turkije,35168
Overijssel (PV),Verenigd Koninkrijk,2352
Overijssel (PV),Verenigde Staten van Amerika,949
Overijssel (PV),Vietnam,956
Overijssel (PV),Zuid-Afrika,935
Overijssel (PV),Overig Afrika,4465
Overijssel (PV),Overig Amerika,1492
Overijssel (PV),Overig Azië,8062
Overijssel (PV),Overig Europa,3465
Overijssel (PV),Overig Oceanië,254
Flevoland (PV),Afghanistan,1601
Flevoland (PV),Australië,375
Flevoland (PV),België,1321
Flevoland (PV),Brazilië,666
Flevoland (PV),Canada en overig Noord-Amerika,451
Flevoland (PV),China,1440
Flevoland (PV),Colombia,513
