Regio,Migratieachtergrond,value
Nederland,Afghanistan,11551
Nederland,Australië,11076
Nederland,België,111537
Nederland,Brazilië,7639
Nederland,Canada en overig Noord-Amerika,10391
Nederland,China,26191
Nederland,Colombia,6002
Nederland,Dominicaanse Republiek,6174
Nederland,Duitsland,405991
Nederland,Egypte,12738
Nederland,Ethiopië,8460
Nederland,Filippijnen,8868
Nederland,Frankrijk,27636
Nederland,Ghana,13973
Nederland,Griekenland,10559
Nederland,Hongarije,11742
Nederland,Hongkong,17304
Nederland,India,10302
Nederland,Indonesië,407885
Nederland,Irak,22295
Nederland,Iran,20685
Nederland,Italië,32459
Nederland,Japan,6475
Nederland,Kaapverdië,17478
Nederland,Marokko,241982
Nederland,Oostenrijk,15333
Nederland,Pakistan,15135
Nederland,Polen,27315
Nederland,Portugal,13252
Nederland,Somalië,25842
Nederland,Spanje,29125
Nederland,Suriname,290467
Nederland,Turkije,289777
Nederland,Verenigd Koninkrijk,66781
Nederland,Verenigde Staten van Amerika,24479
Nederland,Vietnam,13801
Nederland,Zuid-Afrika,10737
Nederland,Overig Afrika,42067
Nederland,Overig Amerika,24341
Nederland,Overig Azië,42539
Nederland,Overig Europa,47719
Nederland,Overig Oceanië,3899
Groningen (PV),Afghanistan,284
Groningen (PV),Australië,285
Groningen (PV),België,821
Groningen (PV),Brazilië,199
Groningen (PV),Canada en overig Noord-Amerika,305
Groningen (PV),China,882
Groningen (PV),Colombia,112
Groningen (PV),Dominicaanse Republiek,271
Groningen (PV),Duitsland,12862
Groningen (PV),Egypte,194
Groningen (PV),Ethiopië,176
Groningen (PV),Filippijnen,176
Groningen (PV),Frankrijk,510
Groningen (PV),Ghana,80
Groningen (PV),Griekenland,177
Groningen (PV),Hongarije,235
Groningen (PV),Hongkong,246
Groningen (PV),India,149
Groningen (PV),Indonesië,11042
Groningen (PV),Irak,781
Groningen (PV),Iran,856
Groningen (PV),Italië,902
Groningen (PV),Japan,71
Groningen (PV),Kaapverdië,224
Groningen (PV),Marokko,1063
Groningen (PV),Oostenrijk,280
Groningen (PV),Pakistan,193
Groningen (PV),Polen,832
Groningen (PV),Portugal,136
Groningen (PV),Somalië,788
Groningen (PV),Spanje,290
Groningen (PV),Suriname,5821
Groningen (PV),Turkije,3834
Groningen (PV),Verenigd Koninkrijk,1522
Groningen (PV),Verenigde Staten van Amerika,622
Groningen (PV),Vietnam,245
Groningen (PV),Zuid-Afrika,242
Groningen (PV),Overig Afrika,1319
Groningen (PV),Overig Amerika,532
Groningen (PV),Overig Azië,1175
Groningen (PV),Overig Europa,1458
Groningen (PV),Overig Oceanië,77
Friesland (PV),Afghanistan,436
Friesland (PV),Australië,251
Friesland (PV),België,682
Friesland (PV),Brazilië,129
Friesland (PV),Canada en overig Noord-Amerika,630
Friesland (PV),China,705
Friesland (PV),Colombia,68
Friesland (PV),Dominicaanse Republiek,68
Friesland (PV),Duitsland,9785
Friesland (PV),Egypte,229
Friesland (PV),Ethiopië,135
Friesland (PV),Filippijnen,190
Friesland (PV),Frankrijk,457
Friesland (PV),Ghana,76
Friesland (PV),Griekenland,141
Friesland (PV),Hongarije,220
Friesland (PV),Hongkong,183
Friesland (PV),India,167
Friesland (PV),Indonesië,7721
Friesland (PV),Irak,1268
Friesland (PV),Iran,634
Friesland (PV),Italië,499
Friesland (PV),Japan,27
Friesland (PV),Kaapverdië,103
Friesland (PV),Marokko,2007
Friesland (PV),Oostenrijk,270
Friesland (PV),Pakistan,155
Friesland (PV),Polen,680
Friesland (PV),Portugal,89
Friesland (PV),Somalië,1130
Friesland (PV),Spanje,195
Friesland (PV),Suriname,2791
Friesland (PV),Turkije,1247
Friesland (PV),Verenigd Koninkrijk,1172
Friesland (PV),Verenigde Staten van Amerika,504
Friesland (PV),Vietnam,687
Friesland (PV),Zuid-Afrika,247
Friesland (PV),Overig Afrika,1182
Friesland (PV),Overig Amerika,453
Friesland (PV),Overig Azië,1129
Friesland (PV),Overig Europa,995
Friesland (PV),Overig Oceanië,90
Drenthe (PV),Afghanistan,482
Drenthe (PV),Australië,249
Drenthe (PV),België,571
Drenthe (PV),Brazilië,108
Drenthe (PV),Canada en overig Noord-Amerika,304
Drenthe (PV),China,643
Drenthe (PV),Colombia,46
Drenthe (PV),Dominicaanse Republiek,39
Drenthe (PV),Duitsland,9242
Drenthe (PV),Egypte,213
Drenthe (PV),Ethiopië,143
Drenthe (PV),Filippijnen,109
Drenthe (PV),Frankrijk,247
Drenthe (PV),Ghana,31
Drenthe (PV),Griekenland,99
Drenthe (PV),Hongarije,115
Drenthe (PV),Hongkong,170
Drenthe (PV),India,70
Drenthe (PV),Indonesië,8215
Drenthe (PV),Irak,900
Drenthe (PV),Iran,456
Drenthe (PV),Italië,491
Drenthe (PV),Japan,16
Drenthe (PV),Kaapverdië,14
Drenthe (PV),Marokko,1048
Drenthe (PV),Oostenrijk,212
Drenthe (PV),Pakistan,133
Drenthe (PV),Polen,594
Drenthe (PV),Portugal,47
Drenthe (PV),Somalië,640
Drenthe (PV),Spanje,178
Drenthe (PV),Suriname,1629
Drenthe (PV),Turkije,1328
Drenthe (PV),Verenigd Koninkrijk,1014
Drenthe (PV),Verenigde Staten van Amerika,333
Drenthe (PV),Vietnam,340
Drenthe (PV),Zuid-Afrika,199
Drenthe (PV),Overig Afrika,699
Drenthe (PV),Overig Amerika,237
Drenthe (PV),Overig Azië,923
Drenthe (PV),Overig Europa,723
Drenthe (PV),Overig Oceanië,80
Overijssel (PV),Afghanistan,719
Overijssel (PV),Australië,540
Overijssel (PV),België,1343
Overijssel (PV),Brazilië,373
Overijssel (PV),Canada en overig Noord-Amerika,484
Overijssel (PV),China,1631
Overijssel (PV),Colombia,200
Overijssel (PV),Dominicaanse Republiek,118
Overijssel (PV),Duitsland,33807
Overijssel (PV),Egypte,239
Overijssel (PV),Ethiopië,322
Overijssel (PV),Filippijnen,334
Overijssel (PV),Frankrijk,776
Overijssel (PV),Ghana,109
Overijssel (PV),Griekenland,207
Overijssel (PV),Hongarije,825
Overijssel (PV),Hongkong,528
Overijssel (PV),India,234
Overijssel (PV),Indonesië,21479
Overijssel (PV),Irak,2529
Overijssel (PV),Iran,1214
Overijssel (PV),Italië,2611
Overijssel (PV),Japan,45
Overijssel (PV),Kaapverdië,17
Overijssel (PV),Marokko,3308
Overijssel (PV),Oostenrijk,672
Overijssel (PV),Pakistan,218
Overijssel (PV),Polen,1373
Overijssel (PV),Portugal,149
Overijssel (PV),Somalië,794
Overijssel (PV),Spanje,1511
Overijssel (PV),Suriname,4656
Overijssel (PV),Turkije,29254
Overijssel (PV),Verenigd Koninkrijk,1973
Overijssel (PV),Verenigde Staten van Amerika,701
Overijssel (PV),Vietnam,750
Overijssel (PV),Zuid-Afrika,560
